"_time",host,"database_name","session_id","wait_type",command,"head_blocker","sql_text","blocked_sessions_count","total_blocked_wait_time_ms"
"2025-12-31T17:01:30.000+0800",WINFODB06ST11,"oi_analytics_db",400,"",INSERT,1,"CREATE PROCEDURE dbo.uspx_activity_insert(@tvp_activity    dbo.udt_log_activity READONLY   ,@system_datetime            DATETIME2   ,@is_retry        ",0,0
"2025-12-31T15:56:30.000+0800",WINFODB06ST11,"oi_analytics_db",427,"",INSERT,1,"CREATE PROCEDURE dbo.usp_ap_sell_request(@tvp_activity                dbo.udt_log_activity READONLY   ,@sell_request                dbo.udt_sell_reque",8,405518
"2025-12-31T10:05:30.000+0800",WINFODB06ST11,"oi_analytics_db",367,"","COMMIT TRANSACTION",1,"CREATE PROCEDURE dbo.usp_scheduler_log_task_get(--Input Parameters@bizdate             DATE -- output   ,@return_msg NVARCHAR(500) = '' OUTPUT)ASBEGIN",0,0
"2025-12-31T09:06:29.000+0800",WINFODB06ST11,"oi_analytics_db",300,"",INSERT,1,"CREATE PROCEDURE dbo.uspx_sell_request_updater(@sell_request     dbo.udt_sell_request READONLY   ,@leg          dbo.udt_sell_request_leg READONLY   ,@",0,0
"2025-12-31T06:15:30.000+0800",WINFODB06ST11,"oi_analytics_db",359,"","",1,"CREATE PROCEDURE dbo.usp_ap_ticket_divcal(    @activity        dbo.udt_log_activity READONLY   ,@divcal         dbo.udt_ticket_divcal READONLY   ,@div",0,0
"2025-12-31T05:35:30.000+0800",WINFODB06ST11,"oi_analytics_db",114,"PAGELATCH_EX",CONDITIONAL,1,"CREATE PROCEDURE dbo.uspx_ticket_divcal_plc(    @data dbo.udt_ticket_divcal_plc READONLY   ,@now                  DATETIME2)ASBEGIN    DECLARE        ",5,275157
"2025-12-31T05:33:40.000+0800",WINFODB06ST11,"oi_analytics_db",97,"",UPDATE,1,"CREATE PROCEDURE dbo.uspx_sell_request_counter_offer(    @activity                   dbo.udt_log_activity READONLY   ,@sell_request               dbo.",1,62356
"2025-12-31T05:03:30.000+0800",WINFODB06ST11,"oi_analytics_db",558,"",INSERT,1,"CREATE PROCEDURE dbo.uspx_sell_request_account(    @account dbo.udt_ap_account READONLY   ,@now              DATETIME2)ASBEGIN    DECLARE            @",0,0
"2025-12-31T04:27:29.000+0800",WINFODB06ST11,"oi_analytics_db",520,"",INSERT,1,"CREATE PROCEDURE dbo.uspx_log_bet_updater(@activity      dbo.udt_log_activity READONLY   ,@sell_request  dbo.udt_sell_request READONLY   ,@account    ",4,338476
"2025-12-31T03:33:29.000+0800",WINFODB06ST11,"oi_analytics_db",63,"",INSERT,1,"CREATE PROCEDURE dbo.uspx_ticket_insert(@tvp_ticket                             dbo.udt_ticket READONLY   ,@tvp_ticket_bet_single       dbo.udt_ticket",21,2707011
