currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
"csa_db","process1a845233c28 process1a84b21f468 process1a84b247848 process1a8fc9c9088 process1a9a5d5dc28 process1aaf7199848 process1ab69a088c8 process1ae57cba108 process1b4f4397468","KEY: 6:72057594044940288 (ffffffffffff) KEY: 6:72057594048937984 (0efe87e63ecf) KEY: 6:72057594048937984 (3638717d8483) KEY: 6:72057594048937984 (3c95da90dd0d) KEY: 6:72057594048937984 (4cb0e23a2f1b) KEY: 6:72057594048937984 (532a208e2a1f) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee) KEY: 6:72057594048937984 (e09157f794f1) KEY: 6:72057594048937984 (e3518e86bdd0)","RangeI-N",157,"2025/12/25 09:37:36.930","2025/12/22 10:58:34.520","frame procname=csa_db.dbo.usp_set_customer_profile line=48 stmtstart=2724 stmtend=3070 sqlhandle=0x03000600ec3b871cb075c700b8af000001000000000000000000000000000000000000000000000000000000"
"csa_db","process1a845233c28 process1a84b21f468 process1a84b247848 process1a9a5d5dc28 process1ae57cba108","KEY: 6:72057594048937984 (4cb0e23a2f1b) KEY: 6:72057594048937984 (532a208e2a1f) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee) KEY: 6:72057594048937984 (e09157f794f1)","RangeI-N",117,"2025/12/24 17:36:38.090","2025/12/22 10:58:34.520","@segment,"
"csa_db","process1a845233c28 process1a84b21f468 process1aaf7199848 process1ae57cba108","KEY: 6:72057594048937984 (3c95da90dd0d) KEY: 6:72057594048937984 (532a208e2a1f) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",117,"2025/12/25 09:37:36.930","2025/12/22 10:58:34.520","insert into dbo.account_customer values"
"csa_db","process1a84b21f468 process1a8fc9c9088 process1aaf7199848 process1b4f4397468","KEY: 6:72057594048937984 (0efe87e63ecf) KEY: 6:72057594048937984 (3638717d8483) KEY: 6:72057594048937984 (3c95da90dd0d) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",113,"2025/12/25 09:37:36.930","2025/12/24 17:34:22.700","@crm_case_id,"
"csa_db","process1a84b21f468 process1a8fc9c9088 process1aaf7199848 process1ab69a088c8 process1b4f4397468","KEY: 6:72057594044940288 (ffffffffffff) KEY: 6:72057594048937984 (0efe87e63ecf) KEY: 6:72057594048937984 (3638717d8483) KEY: 6:72057594048937984 (3c95da90dd0d) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee) KEY: 6:72057594048937984 (e3518e86bdd0)","RangeI-N",106,"2025/12/25 09:37:36.930","2025/12/24 09:19:00.700","("
"csa_db","process1a84b21f468 process1a8fc9c9088 process1aaf7199848 process1ab69a088c8 process1b4f4397468","KEY: 6:72057594044940288 (ffffffffffff) KEY: 6:72057594048937984 (0efe87e63ecf) KEY: 6:72057594048937984 (3638717d8483) KEY: 6:72057594048937984 (3c95da90dd0d) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee) KEY: 6:72057594048937984 (e3518e86bdd0)","RangeI-N",93,"2025/12/25 09:37:36.930","2025/12/24 09:19:00.700","@account_number,"
"csa_db","process1a845233c28 process1a84b21f468 process1aaf7199848 process1ae57cba108","KEY: 6:72057594048937984 (3c95da90dd0d) KEY: 6:72057594048937984 (532a208e2a1f) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",73,"2025/12/25 09:37:36.930","2025/12/22 10:58:34.520","@account_status,"
"csa_db","process1a84b21f468 process1aaf7199848","KEY: 6:72057594048937984 (3c95da90dd0d) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",56,"2025/12/25 09:37:36.930","2025/12/24 17:34:22.700","@update_date     "
"csa_db","process1a84b21f468 process1a8fc9c9088 process1b4f4397468","KEY: 6:72057594048937984 (0efe87e63ecf) KEY: 6:72057594048937984 (3638717d8483) KEY: 6:72057594048937984 (ced4ef445a36) KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",54,"2025/12/24 17:40:56.370","2025/12/24 17:34:22.700","@customer_id,"
"csa_db","process1aaf7199088 process1ab69a088c8","KEY: 6:72057594044940288 (ffffffffffff) KEY: 6:72057594048937984 (e3518e86bdd0)","RangeI-N",7,"2025/12/24 09:19:00.700","2025/12/24 09:19:00.700","frame procname=csa_db.dbo.usp_set_account_account_category line=44 stmtstart=2854 stmtend=3210 sqlhandle=0x03000600020737651b601c014faf000001000000000000000000000000000000000000000000000000000000"
"K2_Custom",process29a4c21f088,"KEY: 5:72057594042187776 (181904d75980) KEY: 5:72057594042187776 (31efd07b9107) KEY: 5:72057594042187776 (e187c2752a98)",U,6,"2025/12/19 09:12:00.110","2025/12/19 09:12:00.110","[INFO] Database ID: [5]. Seg: { 0x0001437e008e9808: 0x0002}; Ckpt Id: 36322."
"K2_Custom",process29a4c21f088,"KEY: 5:72057594042187776 (181904d75980) KEY: 5:72057594042187776 (31efd07b9107) KEY: 5:72057594042187776 (e187c2752a98)",U,6,"2025/12/19 09:12:00.110","2025/12/19 09:12:00.110","frame procname=K2_Custom.dbo.unlock_user_task line=19 stmtstart=660 stmtend=1224 sqlhandle=0x03000500fda84c3af2ead500c3b1000001000000000000000000000000000000000000000000000000000000"
"csa_db",process1ab69a088c8,"KEY: 6:72057594044940288 (ffffffffffff) KEY: 6:72057594048937984 (e3518e86bdd0)","RangeI-N",6,"2025/12/24 09:19:00.700","2025/12/24 09:19:00.700","frame procname=csa_db.dbo.usp_account_register line=53 stmtstart=3138 stmtend=3310 sqlhandle=0x03000600cb6e6d7594091501acae000001000000000000000000000000000000000000000000000000000000"
"csa_db",process1ab69a088c8,"KEY: 6:72057594044940288 (ffffffffffff) KEY: 6:72057594048937984 (e3518e86bdd0)","RangeI-N",6,"2025/12/24 09:19:00.700","2025/12/24 09:19:00.700","values(@account_id,@new_account_cateogory_id, @requested_by, @business_date     "
"sps_db","process16471a32108 process22cebfefc28","KEY: 5:72057594076200960 (2419d71fcb39) KEY: 5:72057594076200960 (9aab9b4123d3) KEY: 5:72057594076200960 (c39513af42e6) KEY: 5:72057594656063488 (7ec7b8af9cb5)","S X",4,"2025/12/29 15:48:09.800","2025/12/18 16:18:47.930","(@P0 bigint,@P1 bigint)DELETE FROM event_record_links"
"sps_db","process16471a32108 process22cebfefc28","KEY: 5:72057594076200960 (2419d71fcb39) KEY: 5:72057594076200960 (9aab9b4123d3) KEY: 5:72057594076200960 (c39513af42e6) KEY: 5:72057594656063488 (7ec7b8af9cb5)","S X",4,"2025/12/29 15:48:09.800","2025/12/18 16:18:47.930","frame procname=adhoc line=1 stmtstart=46 stmtend=216 sqlhandle=0x0200000054fbc91d1587ee10883d98b5f8262416db8a9f9e0000000000000000000000000000000000000000"
"sps_db",process22cebfefc28,"KEY: 5:72057594076200960 (2419d71fcb39) KEY: 5:72057594656063488 (7ec7b8af9cb5)","S X",2,"2025/12/18 16:18:47.930","2025/12/18 16:18:47.930","(@P0 bigint)SELECT"
"sps_db",process16471a32108,"KEY: 5:72057594076200960 (9aab9b4123d3) KEY: 5:72057594076200960 (c39513af42e6)","S X",2,"2025/12/29 15:48:09.800","2025/12/29 15:48:09.800","(@P0 bigint)declare @topId bigint,"
"sps_db",process1646fce7088,"KEY: 5:72057594041794560 (5b1eccbb5b8c) KEY: 5:72057594634371072 (190c0fdd9d84)","S X",2,"2025/12/29 10:49:46.270","2025/12/29 10:49:46.270","(@P0 bigint,@P1 varbinary(8000),@P2 bigint)UPDATE competitors SET"
"sps_db",process1646fce7088,"KEY: 5:72057594041794560 (5b1eccbb5b8c) KEY: 5:72057594634371072 (190c0fdd9d84)","S X",2,"2025/12/29 10:49:46.270","2025/12/29 10:49:46.270","(@P0 nvarchar(4000),@P1 bigint)DECLARE @sysRef nvarchar(70)"
"oi_analytics_db",process29a46265c28,"PAGE: 6:1:1177011  PAGE: 6:1:1177364 ","IX S",2,"2025/12/18 09:37:51.870","2025/12/18 09:37:51.870","(@event_id nvarchar(8))select top 1 odds_assessment from dbo.event_trading_parameter where event_id = @event_id and bet_type_group = 1 and is_hkjc = 1  order by bizdate desc, begin_at desc    "
"sps_db",process22cebfefc28,"KEY: 5:72057594076200960 (2419d71fcb39) KEY: 5:72057594656063488 (7ec7b8af9cb5)","S X",2,"2025/12/18 16:18:47.930","2025/12/18 16:18:47.930","frame procname=adhoc line=1 stmtstart=24 stmtend=926 sqlhandle=0x020000000249a4307121b4b9ad7976a363d896a8470e4f1b0000000000000000000000000000000000000000"
"sps_db",process1646fce7088,"KEY: 5:72057594041794560 (5b1eccbb5b8c) KEY: 5:72057594634371072 (190c0fdd9d84)","S X",2,"2025/12/29 10:49:46.270","2025/12/29 10:49:46.270","frame procname=adhoc line=1 stmtstart=86 stmtend=284 sqlhandle=0x02000000395380230fbeb2bfee46b71d1c6ed8e0d8a6479f0000000000000000000000000000000000000000"
"sps_db",process16471a32108,"KEY: 5:72057594076200960 (9aab9b4123d3) KEY: 5:72057594076200960 (c39513af42e6)","S X",2,"2025/12/29 15:48:09.800","2025/12/29 15:48:09.800","frame procname=adhoc line=30 stmtstart=2422 stmtend=34630 sqlhandle=0x02000000d4e44825058f2d5f8c0c3a6310a9103d7442c75d0000000000000000000000000000000000000000"
"sps_db",process1646fce7088,"KEY: 5:72057594041794560 (5b1eccbb5b8c) KEY: 5:72057594634371072 (190c0fdd9d84)","S X",2,"2025/12/29 10:49:46.270","2025/12/29 10:49:46.270","frame procname=adhoc line=6 stmtstart=182 stmtend=1568 sqlhandle=0x020000003600d03a142ea9c0182fb55f2b8b44d326608cf10000000000000000000000000000000000000000"
"csa_db",process1a8f9a07848,"KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",2,"2025/12/24 17:34:22.700","2025/12/24 17:34:22.700","keylock hobtid=72057594048937984 dbid=6 objectname=csa_db.dbo.account_customer indexname=IX_account_customer_customer_id_account_number_account_status id=lock1a96cfd1b80 mode=RangeS-S associatedObjectId=72057594048937984"
"csa_db",process1a9a5d5dc28,"KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",2,"2025/12/24 17:34:22.700","2025/12/24 17:34:22.700","owner id=process1a9a5d5dc28 mode=RangeI-N requestType=convert"
"csa_db",process1aaf7199088,"KEY: 6:72057594044940288 (ffffffffffff)","RangeI-N",2,"2025/12/24 09:19:00.700","2025/12/24 09:19:00.700","owner id=process1aaf7199088 mode=RangeS-S"
master,process18f27a81468,"KEY: 1:281474978545664 (59855d342c69)",X,1,"2025/12/22 12:02:22.630","2025/12/22 12:02:22.630","------------------------------------------------------------------------------"
"oi_analytics_db",process29a46265c28,"PAGE: 6:1:1177011  PAGE: 6:1:1177364 ","IX S",1,"2025/12/18 09:37:51.870","2025/12/18 09:37:51.870","frame procname=adhoc line=1 stmtstart=46 stmtend=374 sqlhandle=0x020000009ff48b34fec40339143a01032337c43f39f6e8750000000000000000000000000000000000000000"
master,process18f27a81468,"KEY: 1:281474978545664 (59855d342c69)",X,1,"2025/12/22 12:02:22.630","2025/12/22 12:02:22.630","frame procname=adhoc line=84 stmtstart=5350 stmtend=5730 sqlhandle=0x020000009b5090254ca6a45de1416dffb9b0eac3a16ca65e0000000000000000000000000000000000000000"
"oi_analytics_db",process29a46265c28,"PAGE: 6:1:1177011  PAGE: 6:1:1177364 ","IX S",1,"2025/12/18 09:37:51.870","2025/12/18 09:37:51.870","frame procname=oi_analytics_db.dbo.usp_po_event_trading_parameter_insert line=13 stmtstart=610 stmtend=1366 sqlhandle=0x03000600747962407a0eb8009bb3000001000000000000000000000000000000000000000000000000000000"
"csa_db",process1aaf7199088,"KEY: 6:72057594044940288 (ffffffffffff)","RangeI-N",1,"2025/12/24 09:19:00.700","2025/12/24 09:19:00.700","keylock hobtid=72057594044940288 dbid=6 objectname=csa_db.dbo.account_account_category indexname=PK__account___AF91A6ACDC2BCF50 id=lock1ae2ec4f680 mode=RangeS-S associatedObjectId=72057594044940288"
"csa_db",process1a8f9a07848,"KEY: 6:72057594048937984 (d780d0a60dee)","RangeI-N",1,"2025/12/24 17:34:22.700","2025/12/24 17:34:22.700","owner id=process1a9a5d5dc28 mode=RangeS-S"
