"t.$date",host,hostname,"attr.ns","attr.command.getMore","attr.planSummary","attr.docsExamined","attr.keysExamined","attr.nreturned","attr.cpuNanos","attr.numYields","attr.storage.data.bytesRead","attr.storage.data.timeReadingMicros","attr.durationMillis","attr.workingMillis","health_scan_return_ratio","health_cpuNanos","health_queue_time_ratio","health_index_efficiency_ratio","health_disk_latency_per_mb","_raw","attr.queryShapeHash",c
"2025-12-19T04:02:01.989+08:00",ptrmmdbhv01,,"ptrm_cpc_db.audit_log",,COLLSCAN,931308,0,,8348284093,1424,12213830510,21324536,27355,27355,,"0.30518311",0,0,"1.7459","{""t"":{""$date"":""2025-12-19T04:02:01.989+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn3105"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-12-18T20:01:33.244Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":931308,""ndeleted"":0,""numYields"":1424,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1425}},""Global"":{""acquireCount"":{""w"":1425}},""Database"":{""acquireCount"":{""w"":1425}},""Collection"":{""acquireCount"":{""w"":1425}}},""flowControl"":{""acquireCount"":1425},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":12213830510,""timeReadingMicros"":21324536}},""cpuNanos"":8348284093,""remote"":""10.8.2.163:54792"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":1426}},""workingMillis"":27355,""durationMillis"":27355}}",,WRITE
"2025-12-29T04:01:54.882+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,1121167,0,,8411863297,1361,15497522898,18337821,25019,25019,,"0.33621901",0,0,"1.1833","{""t"":{""$date"":""2025-12-29T04:01:54.882+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn215535"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-12-28T20:01:28.781Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":1121167,""ndeleted"":0,""numYields"":1361,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1362}},""Global"":{""acquireCount"":{""w"":1362}},""Database"":{""acquireCount"":{""w"":1362}},""Collection"":{""acquireCount"":{""w"":1362}}},""flowControl"":{""acquireCount"":1362},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":15497522898,""timeReadingMicros"":18337821}},""cpuNanos"":8411863297,""remote"":""10.8.2.163:47280"",""queues"":{""execution"":{""admissions"":1363},""ingress"":{""admissions"":1}},""workingMillis"":25019,""durationMillis"":25019}}",,WRITE
"2025-12-30T04:01:26.115+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,1121249,0,,16343184578,1332,8010961566,8202855,24746,24746,,"0.66043743",0,0,"1.0240","{""t"":{""$date"":""2025-12-30T04:01:26.115+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn226"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-12-29T20:01:00.212Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":1121249,""ndeleted"":0,""numYields"":1332,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1333}},""Global"":{""acquireCount"":{""w"":1333}},""Database"":{""acquireCount"":{""w"":1333}},""Collection"":{""acquireCount"":{""w"":1333}}},""flowControl"":{""acquireCount"":1333},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":8010961566,""timeReadingMicros"":8202855}},""cpuNanos"":16343184578,""remote"":""10.8.18.164:42450"",""queues"":{""execution"":{""admissions"":1334},""ingress"":{""admissions"":1}},""workingMillis"":24746,""durationMillis"":24746}}",,WRITE
"2025-12-30T04:01:26.115+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,1121249,0,,16388142703,1331,7825699572,8342361,24745,24745,,"0.66228097",0,0,"1.0660","{""t"":{""$date"":""2025-12-30T04:01:26.115+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn223"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-12-29T20:01:00.121Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":1121249,""ndeleted"":0,""numYields"":1331,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1332}},""Global"":{""acquireCount"":{""w"":1332}},""Database"":{""acquireCount"":{""w"":1332}},""Collection"":{""acquireCount"":{""w"":1332}}},""flowControl"":{""acquireCount"":1332},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":7825699572,""timeReadingMicros"":8342361}},""cpuNanos"":16388142703,""remote"":""10.8.18.163:43106"",""queues"":{""execution"":{""admissions"":1333},""ingress"":{""admissions"":1}},""workingMillis"":24745,""durationMillis"":24745}}",,WRITE
"2025-12-16T04:01:21.856+08:00",ptrmmdbhv01,,"ptrm_cpc_db.audit_log",,COLLSCAN,891099,0,,13068376742,1090,6092714644,6491189,20201,20201,,"0.64691732",0,0,"1.0654","{""t"":{""$date"":""2025-12-16T04:01:21.856+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn215"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-12-15T20:01:00.476Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":891099,""ndeleted"":0,""numYields"":1090,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1091}},""Global"":{""acquireCount"":{""w"":1091}},""Database"":{""acquireCount"":{""w"":1091}},""Collection"":{""acquireCount"":{""w"":1091}}},""flowControl"":{""acquireCount"":1091},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":6092714644,""timeReadingMicros"":6491189}},""cpuNanos"":13068376742,""remote"":""10.8.2.163:59216"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":1092}},""workingMillis"":20201,""durationMillis"":20201}}",,WRITE
"2025-12-16T04:01:21.856+08:00",ptrmmdbhv01,,"ptrm_cpc_db.audit_log",,COLLSCAN,891099,0,,13223076621,1089,6129100369,6148772,20161,20161,,"0.65587404",0,0,"1.0032","{""t"":{""$date"":""2025-12-16T04:01:21.856+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn218"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-12-15T20:01:00.993Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":891099,""ndeleted"":0,""numYields"":1089,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1090}},""Global"":{""acquireCount"":{""w"":1090}},""Database"":{""acquireCount"":{""w"":1090}},""Collection"":{""acquireCount"":{""w"":1090}}},""flowControl"":{""acquireCount"":1090},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":6129100369,""timeReadingMicros"":6148772}},""cpuNanos"":13223076621,""remote"":""10.8.2.164:56320"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":1091}},""workingMillis"":20161,""durationMillis"":20161}}",,WRITE
"2025-12-05T04:01:00.553+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,775965,0,,7155343519,869,5965933444,9586362,16481,16481,,"0.43415712",0,0,"1.6069","{""t"":{""$date"":""2025-12-05T04:01:00.553+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn130882"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-12-04T20:00:43.022Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":775965,""ndeleted"":0,""numYields"":869,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":870}},""Global"":{""acquireCount"":{""w"":870}},""Database"":{""acquireCount"":{""w"":870}},""Collection"":{""acquireCount"":{""w"":870}}},""flowControl"":{""acquireCount"":870},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":5965933444,""timeReadingMicros"":9586362}},""cpuNanos"":7155343519,""remote"":""10.8.18.163:41144"",""queues"":{""execution"":{""admissions"":871},""ingress"":{""admissions"":1}},""workingMillis"":16481,""durationMillis"":16481}}",,WRITE
"2025-12-15T10:58:37.759+08:00",ptrmmdbhv01,,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,61892,0,1,5674745725,767,1634049279,9003271,14044,14044,61892,"0.40406905",0,0,"5.5098","{""t"":{""$date"":""2025-12-15T10:58:37.759+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn222"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""693f79491857bc49857b99c5""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1765767503,""i"":3}},""signature"":{""hash"":{""$binary"":{""base64"":""XtLAEwOrPT54aCXxXUq/8LJdg1U="",""subType"":""0""}},""keyId"":7526323723972902914}},""lsid"":{""id"":{""$uuid"":""bceb0409-8cc4-4774-9f38-f88037d9939f""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":118,""keysExamined"":0,""docsExamined"":61892,""nBatches"":1,""cursorExhausted"":true,""numYields"":767,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":53912,""locks"":{""Global"":{""acquireCount"":{""r"":768}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":1634049279,""timeReadingMicros"":9003271}},""cpuNanos"":5674745725,""remote"":""10.8.18.163:41114"",""protocol"":""op_msg"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":769}},""workingMillis"":14044,""durationMillis"":14044}}",195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6,COMMAND
"2025-12-01T04:00:16.003+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,745411,0,,5270749363,710,8672734840,8791289,13041,13041,,"0.40416758",0,0,"1.0137","{""t"":{""$date"":""2025-12-01T04:00:16.003+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn147"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-30T20:00:02.043Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":745411,""ndeleted"":0,""numYields"":710,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":711}},""Global"":{""acquireCount"":{""w"":711}},""Database"":{""acquireCount"":{""w"":711}},""Collection"":{""acquireCount"":{""w"":711}}},""flowControl"":{""acquireCount"":711},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":8672734840,""timeReadingMicros"":8791289}},""cpuNanos"":5270749363,""remote"":""10.8.2.164:50270"",""queues"":{""execution"":{""admissions"":712},""ingress"":{""admissions"":1}},""workingMillis"":13041,""durationMillis"":13041}}",,WRITE
"2025-12-29T23:24:37.496+08:00",ptrmmdbhv02,,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,62006,0,1,2899319676,622,2150793446,9988323,11461,11461,62006,"0.25297266",0,0,"4.6440","{""t"":{""$date"":""2025-12-29T23:24:37.496+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn173"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""694ff66d1857bc49857b9f5c""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1767021866,""i"":1}},""signature"":{""hash"":{""$binary"":{""base64"":""MpUxIHqxXTxFONptag1vzLMzn38="",""subType"":""0""}},""keyId"":7526323723972902914}},""lsid"":{""id"":{""$uuid"":""3a90e21c-573e-4acf-a603-4b470272bd14""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":86,""keysExamined"":0,""docsExamined"":62006,""nBatches"":1,""cursorExhausted"":true,""numYields"":622,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":1838,""locks"":{""Global"":{""acquireCount"":{""r"":623}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":2150793446,""timeReadingMicros"":9988323}},""cpuNanos"":2899319676,""remote"":""10.8.2.164:59638"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":624},""ingress"":{""admissions"":1}},""workingMillis"":11461,""durationMillis"":11461}}",195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6,COMMAND
