"_time",host,id,lockMode,transactionname,victim,waittime,"_raw"
"2026-02-28T23:39:25.840+0800",WINDB01HV02N,"process150dcc3d468 process16c13f50ca8","Sch-M",UpdateQPStats,process16c13f50ca8,"1 128","2026-02-28 23:39:25.84 spid14s     deadlock-list
2026-02-28 23:39:25.84 spid14s      deadlock victim=process16c13f50ca8
2026-02-28 23:39:25.84 spid14s       process-list
2026-02-28 23:39:25.84 spid14s        process id=process16c13f50ca8 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1968218262, stats_id = 6), lockPartitionId = 0 waittime=1 ownerId=12947152968 transactionname=UpdateQPStats lasttranstarted=2026-02-28T23:39:25.593 XDES=0x2fa96374460 lockMode=Sch-M schedulerid=24 kpid=13816 status=background spid=873 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 23:39:25.84 spid14s         executionStack
2026-02-28 23:39:25.84 spid14s         inputbuf
2026-02-28 23:39:25.84 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1968218262, stats_id = 6), lockPartitionId = 23 waittime=128 XDES=0x237b85ac040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 23:39:25.84 spid14s         executionStack
2026-02-28 23:39:25.84 spid14s         inputbuf
2026-02-28 23:39:25.84 spid14s       resource-list"
"2026-02-28T22:08:37.040+0800",WINDB01HV02N,"process150dcc3d468 process15356c85c28","Sch-M",UpdateQPStats,process15356c85c28,"1 194","2026-02-28 22:08:37.04 spid14s     deadlock-list
2026-02-28 22:08:37.04 spid14s      deadlock victim=process15356c85c28
2026-02-28 22:08:37.04 spid14s       process-list
2026-02-28 22:08:37.04 spid14s        process id=process15356c85c28 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 408492634, stats_id = 2), lockPartitionId = 0 waittime=1 ownerId=12898500858 transactionname=UpdateQPStats lasttranstarted=2026-02-28T22:08:36.820 XDES=0x2cdf9cbc460 lockMode=Sch-M schedulerid=13 kpid=8260 status=background spid=893 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 22:08:37.04 spid14s         executionStack
2026-02-28 22:08:37.04 spid14s         inputbuf
2026-02-28 22:08:37.04 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 408492634, stats_id = 2), lockPartitionId = 12 waittime=194 XDES=0x237b8184040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 22:08:37.04 spid14s         executionStack
2026-02-28 22:08:37.04 spid14s         inputbuf
2026-02-28 22:08:37.04 spid14s       resource-list"
"2026-02-28T21:29:36.170+0800",WINDB02ST02N,"process18c25ed3088 process2f3b6637848","Sch-M",UpdateQPStats,process18c25ed3088,"1 1618","2026-02-28 21:29:36.17 spid15s     deadlock-list
2026-02-28 21:29:36.17 spid15s      deadlock victim=process18c25ed3088
2026-02-28 21:29:36.17 spid15s       process-list
2026-02-28 21:29:36.17 spid15s        process id=process18c25ed3088 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 856494230, stats_id = 4), lockPartitionId = 0 waittime=1 ownerId=12369250085 transactionname=UpdateQPStats lasttranstarted=2026-02-28T21:29:34.493 XDES=0x28e7f9a4460 lockMode=Sch-M schedulerid=29 kpid=12300 status=background spid=33 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 21:29:36.17 spid15s         executionStack
2026-02-28 21:29:36.17 spid15s         inputbuf
2026-02-28 21:29:36.17 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 856494230, stats_id = 4), lockPartitionId = 28 waittime=1618 XDES=0x17e9690c040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 21:29:36.17 spid15s         executionStack
2026-02-28 21:29:36.17 spid15s         inputbuf
2026-02-28 21:29:36.17 spid15s       resource-list"
"2026-02-28T10:11:50.170+0800",WINDB01HV02N,"process150dcc3d468 process15356c85c28","Sch-M",UpdateQPStats,process15356c85c28,607,"2026-02-28 10:11:50.17 spid14s     deadlock-list
2026-02-28 10:11:50.17 spid14s      deadlock victim=process15356c85c28
2026-02-28 10:11:50.17 spid14s       process-list
2026-02-28 10:11:50.17 spid14s        process id=process15356c85c28 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 14), lockPartitionId = 0 ownerId=12622828473 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:11:48.723 XDES=0x24f4b8c4460 lockMode=Sch-M schedulerid=13 kpid=12316 status=background spid=23 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:11:50.17 spid14s         executionStack
2026-02-28 10:11:50.17 spid14s         inputbuf
2026-02-28 10:11:50.17 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 14), lockPartitionId = 12 waittime=607 XDES=0x15ba7bf0040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:11:50.17 spid14s         executionStack
2026-02-28 10:11:50.17 spid14s         inputbuf
2026-02-28 10:11:50.17 spid14s       resource-list"
"2026-02-28T10:11:47.520+0800",WINDB01HV02N,"process150dcc3d468 process15359d728c8","Sch-M",UpdateQPStats,process15359d728c8,"1 360","2026-02-28 10:11:47.52 spid14s     deadlock-list
2026-02-28 10:11:47.52 spid14s      deadlock victim=process15359d728c8
2026-02-28 10:11:47.52 spid14s       process-list
2026-02-28 10:11:47.52 spid14s        process id=process15359d728c8 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 8), lockPartitionId = 0 waittime=1 ownerId=12622821408 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:11:45.963 XDES=0x15348994460 lockMode=Sch-M schedulerid=7 kpid=14624 status=background spid=30 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:11:47.52 spid14s         executionStack
2026-02-28 10:11:47.52 spid14s         inputbuf
2026-02-28 10:11:47.52 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 8), lockPartitionId = 6 waittime=360 XDES=0x233b4d04040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:11:47.52 spid14s         executionStack
2026-02-28 10:11:47.52 spid14s         inputbuf
2026-02-28 10:11:47.52 spid14s       resource-list"
"2026-02-28T10:11:44.490+0800",WINDB01HV02N,"process150dcc3d468 process4a8b0069848","Sch-M",UpdateQPStats,process4a8b0069848,356,"2026-02-28 10:11:44.49 spid14s     deadlock-list
2026-02-28 10:11:44.49 spid14s      deadlock victim=process4a8b0069848
2026-02-28 10:11:44.49 spid14s       process-list
2026-02-28 10:11:44.49 spid14s        process id=process4a8b0069848 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 18), lockPartitionId = 0 ownerId=12622815176 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:11:43.733 XDES=0x301db69c460 lockMode=Sch-M schedulerid=21 kpid=11808 status=background spid=880 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:11:44.49 spid14s         executionStack
2026-02-28 10:11:44.49 spid14s         inputbuf
2026-02-28 10:11:44.49 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 18), lockPartitionId = 20 waittime=356 XDES=0x16104664040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:11:44.49 spid14s         executionStack
2026-02-28 10:11:44.49 spid14s         inputbuf
2026-02-28 10:11:44.49 spid14s       resource-list"
"2026-02-28T10:11:43.170+0800",WINDB01HV02N,"process150dcc3d468 process151a9069848","Sch-M",UpdateQPStats,process151a9069848,"1 1193","2026-02-28 10:11:43.17 spid14s     deadlock-list
2026-02-28 10:11:43.17 spid14s      deadlock victim=process151a9069848
2026-02-28 10:11:43.17 spid14s       process-list
2026-02-28 10:11:43.17 spid14s        process id=process151a9069848 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 5), lockPartitionId = 0 waittime=1 ownerId=12622808390 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:11:41.553 XDES=0x22dfdc24460 lockMode=Sch-M schedulerid=4 kpid=8436 status=background spid=38 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:11:43.17 spid14s         executionStack
2026-02-28 10:11:43.17 spid14s         inputbuf
2026-02-28 10:11:43.17 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 5), lockPartitionId = 3 waittime=1193 XDES=0x17988054040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:11:43.17 spid14s         executionStack
2026-02-28 10:11:43.17 spid14s         inputbuf
2026-02-28 10:11:43.17 spid14s       resource-list"
"2026-02-28T10:11:38.550+0800",WINDB01HV02N,"process150dcc3d468 process151a90668c8","Sch-M",UpdateQPStats,process151a90668c8,25,"2026-02-28 10:11:38.55 spid14s     deadlock-list
2026-02-28 10:11:38.55 spid14s      deadlock victim=process151a90668c8
2026-02-28 10:11:38.55 spid14s       process-list
2026-02-28 10:11:38.55 spid14s        process id=process151a90668c8 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 7), lockPartitionId = 0 ownerId=12622796923 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:11:37.790 XDES=0x2aee7358460 lockMode=Sch-M schedulerid=19 kpid=15352 status=background spid=890 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:11:38.55 spid14s         executionStack
2026-02-28 10:11:38.55 spid14s         inputbuf
2026-02-28 10:11:38.55 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 7), lockPartitionId = 18 waittime=25 XDES=0x237b8f98040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:11:38.55 spid14s         executionStack
2026-02-28 10:11:38.55 spid14s         inputbuf
2026-02-28 10:11:38.55 spid14s       resource-list"
"2026-02-28T10:11:11.680+0800",WINDB01HV02N,"process150dcc3d468 process1554f8c3c28","Sch-M",UpdateQPStats,process1554f8c3c28,846,"2026-02-28 10:11:11.68 spid14s     deadlock-list
2026-02-28 10:11:11.68 spid14s      deadlock victim=process1554f8c3c28
2026-02-28 10:11:11.68 spid14s       process-list
2026-02-28 10:11:11.68 spid14s        process id=process1554f8c3c28 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 35), lockPartitionId = 0 ownerId=12622716490 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:11:10.183 XDES=0x2aee7330460 lockMode=Sch-M schedulerid=18 kpid=6004 status=background spid=872 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:11:11.68 spid14s         executionStack
2026-02-28 10:11:11.68 spid14s         inputbuf
2026-02-28 10:11:11.68 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 35), lockPartitionId = 17 waittime=846 XDES=0x1643cde4040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:11:11.68 spid14s         executionStack
2026-02-28 10:11:11.68 spid14s         inputbuf
2026-02-28 10:11:11.68 spid14s       resource-list"
"2026-02-28T10:11:03.110+0800",WINDB01HV02N,"process150dcc3d468 process150dec1f848","Sch-M",UpdateQPStats,process150dec1f848,957,"2026-02-28 10:11:03.11 spid14s     deadlock-list
2026-02-28 10:11:03.11 spid14s      deadlock victim=process150dec1f848
2026-02-28 10:11:03.11 spid14s       process-list
2026-02-28 10:11:03.11 spid14s        process id=process150dec1f848 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 11), lockPartitionId = 0 ownerId=12622691364 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:11:01.450 XDES=0x264b3a98460 lockMode=Sch-M schedulerid=25 kpid=11304 status=background spid=614 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:11:03.11 spid14s         executionStack
2026-02-28 10:11:03.11 spid14s         inputbuf
2026-02-28 10:11:03.11 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 11), lockPartitionId = 24 waittime=957 XDES=0x15623410040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:11:03.11 spid14s         executionStack
2026-02-28 10:11:03.11 spid14s         inputbuf
2026-02-28 10:11:03.11 spid14s       resource-list"
