"creation_time","last_execution_time",host,"db_name","max_elapsed_time_s","avg_elapsed_time_s","total_elapsed_time_s","total_worker_time_s","avg_io","avg_logical_reads","avg_logical_writes","execution_count","query_final"
"2/16/2026 8:47:17 AM","2/16/2026 8:56:14 AM",WINDB11HV01N,"acp_archive_db","1247.984","1048.796","2097592.451","1382856.38",118891478,235276828,2506128,2,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"2/23/2026 10:51:26 AM","2/23/2026 10:59:16 AM",WINDB11HV01N,"acp_archive_db","1112.275","929.378","1858756.868","1208091.124",108781031,215378529,2183533,2,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"2/24/2026 7:40:44 AM","2/24/2026 7:49:17 AM",WINDB11HV01N,"acp_archive_db","1002.299","904.394","1808787.906","1310977.504",111892424,221421070,2363778,2,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"2/15/2026 7:03:37 AM","2/15/2026 7:03:37 AM",WINFODB06HV11,"oi_analytics_db","777.552","777.552","777551.696","445154.927",11334007,22668014,0,1,"INSERT INTO @aggregate_daily_event_bet_type_account
                   (sports_id
                   ,event_type
                   ,event_id
                   ,bet_type
                   ,is_inplay
                   ,account_no)
            SELECT b.sports_id
                  ,b.event_type
                  ,p.event_id
                  ,b.bet_type
                  ,b.is_inplay
                  ,b.account_no
            FROM   dbo.ticket_bet_single b WITH(NOLOCK)
                   INNER JOIN dbo.ticket_status s WITH(NOLOCK) ON b.system_id = s.system_id AND b.ticket_id = s.ticket_id AND s.is_cancel = 0 AND s.is_reverse = 0
                   INNER JOIN @settled_lv2_pools p ON b.pool_id = p.pool_id
            WHERE  b.account_no IS NOT NULL"
"2/15/2026 7:03:37 AM","2/15/2026 7:03:37 AM",WINFODB06HV12,"oi_analytics_db","777.552","777.552","777551.696","445154.927",11334007,22668014,0,1,"INSERT INTO @aggregate_daily_event_bet_type_account
                   (sports_id
                   ,event_type
                   ,event_id
                   ,bet_type
                   ,is_inplay
                   ,account_no)
            SELECT b.sports_id
                  ,b.event_type
                  ,p.event_id
                  ,b.bet_type
                  ,b.is_inplay
                  ,b.account_no
            FROM   dbo.ticket_bet_single b WITH(NOLOCK)
                   INNER JOIN dbo.ticket_status s WITH(NOLOCK) ON b.system_id = s.system_id AND b.ticket_id = s.ticket_id AND s.is_cancel = 0 AND s.is_reverse = 0
                   INNER JOIN @settled_lv2_pools p ON b.pool_id = p.pool_id
            WHERE  b.account_no IS NOT NULL"
"2/22/2026 7:04:41 AM","2/22/2026 7:04:41 AM",WINFODB06HV12,"oi_analytics_db","765.017","765.017","765017.043","403251.766",11470290,22940580,0,1,"INSERT INTO @aggregate_daily_event_bet_type_account
                   (sports_id
                   ,event_type
                   ,event_id
                   ,bet_type
                   ,is_inplay
                   ,account_no)
            SELECT b.sports_id
                  ,b.event_type
                  ,p.event_id
                  ,b.bet_type
                  ,b.is_inplay
                  ,b.account_no
            FROM   dbo.ticket_bet_single b WITH(NOLOCK)
                   INNER JOIN dbo.ticket_status s WITH(NOLOCK) ON b.system_id = s.system_id AND b.ticket_id = s.ticket_id AND s.is_cancel = 0 AND s.is_reverse = 0
                   INNER JOIN @settled_lv2_pools p ON b.pool_id = p.pool_id
            WHERE  b.account_no IS NOT NULL"
"2/22/2026 7:04:41 AM","2/22/2026 7:04:41 AM",WINFODB06HV11,"oi_analytics_db","765.017","765.017","765017.043","403251.766",11470290,22940580,0,1,"INSERT INTO @aggregate_daily_event_bet_type_account
                   (sports_id
                   ,event_type
                   ,event_id
                   ,bet_type
                   ,is_inplay
                   ,account_no)
            SELECT b.sports_id
                  ,b.event_type
                  ,p.event_id
                  ,b.bet_type
                  ,b.is_inplay
                  ,b.account_no
            FROM   dbo.ticket_bet_single b WITH(NOLOCK)
                   INNER JOIN dbo.ticket_status s WITH(NOLOCK) ON b.system_id = s.system_id AND b.ticket_id = s.ticket_id AND s.is_cancel = 0 AND s.is_reverse = 0
                   INNER JOIN @settled_lv2_pools p ON b.pool_id = p.pool_id
            WHERE  b.account_no IS NOT NULL"
"2/21/2026 8:44:05 AM","2/21/2026 8:56:29 AM",WINDB11HV01N,"acp_archive_db","742.154","728.645","1457290.215","1163310.607",99365838,196605786,2125890,2,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"2/13/2026 7:57:06 AM","2/13/2026 7:59:56 AM",WINDB11HV01N,"acp_archive_db","728.638","658.595","1317190.448","966355.285",79185092,156659079,1711104,2,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"2/23/2026 7:02:07 AM","2/23/2026 7:02:07 AM",WINFODB06HV12,"oi_analytics_db","691.395","691.395","691395.359","476216.822",11431016,22862032,0,1,"INSERT INTO @aggregate_daily_event_bet_type_account
                   (sports_id
                   ,event_type
                   ,event_id
                   ,bet_type
                   ,is_inplay
                   ,account_no)
            SELECT b.sports_id
                  ,b.event_type
                  ,p.event_id
                  ,b.bet_type
                  ,b.is_inplay
                  ,b.account_no
            FROM   dbo.ticket_bet_single b WITH(NOLOCK)
                   INNER JOIN dbo.ticket_status s WITH(NOLOCK) ON b.system_id = s.system_id AND b.ticket_id = s.ticket_id AND s.is_cancel = 0 AND s.is_reverse = 0
                   INNER JOIN @settled_lv2_pools p ON b.pool_id = p.pool_id
            WHERE  b.account_no IS NOT NULL"
