Hostname,System
WINODPSMDBST01,PMU.ODPS
WINODPSMDBST02,PMU.ODPS
WINODPSMDBST03,PMU.ODPS
WINODPSMDBHV01,PMU.ODPS
WINODPSMDBHV02,PMU.ODPS
PTRMMDBST01,PTRM
PTRMMDBST02,PTRM
PTRMMDBST03,PTRM
PTRMMDBHV01,PTRM
PTRMMDBHV02,PTRM
AADBSRV21,BCS-AA
AADBSRV22,BCS-AA
AADBSRV23,BCS-AA
AADBSRV24,BCS-AA
BADBSRV21,BCS-BA
BADBSRV22,BCS-BA
BADBSRV23,BCS-BA
BADBSRV24,BCS-BA
CMGCSRV21,CMGC
CMGCSRV22,CMGC
CMGCSRV23,CMGC
CMGCSRV24,CMGC
IDAHVBDB01,IDA
IDAHVBDB02,IDA
IDAHVBDB03,IDA
IDAHVBDB04,IDA
IDASTBDB01,IDA
IDASTBDB02,IDA
IDASTBDB03,IDA
IDASTBDB04,IDA
WGCSRV31,WCR
WGCSRV32,WCR
WGCSRV33,WCR
WGCSRV34,WCR
WINDB01HV01N,AP
WINDB01HV02N,AP
WINDB01ST01N,AP
WINDB01ST02N,AP
WINDB02HV01N,AP
WINDB02HV02N,AP
WINDB02ST01N,AP
WINDB02ST02N,AP
WINDB03HV11,PMU.COL
WINDB03HV12,PMU.COL
WINDB03ST11,PMU.COL
WINDB03ST12,PMU.COL
WINDB08HV01N,AP
WINDB08HV02N,AP
WINDB08ST01N,AP
WINDB08ST02N,AP
WINDB09HV01N,AP
WINDB09HV02N,AP
WINDB09ST01N,AP
WINDB09ST02N,AP
WINDB11HV01N,AP
WINDB11HV02N,AP
WINDB11ST01N,AP
WINDB11ST02N,AP
WINFODB04HV11,FO
WINFODB04HV12,FO
WINFODB04ST11,FO
WINFODB04ST12,FO
WINFODB05HV11,FO
WINFODB05HV12,FO
WINFODB05ST11,FO
WINFODB05ST12,FO
WINFODB06HV11,FO
WINFODB06HV12,FO
WINFODB06ST11,FO
WINFODB06ST12,FO
WINFODB07HV11,FO
WINFODB07HV12,FO
WINFODB07ST11,FO
WINFODB07ST12,FO
WINFODB10HV01,FO
WINFODB10HV02,FO
WINFODB10ST01,FO
WINFODB10ST02,FO
TQFMWDB1ST11,TRD.QFM
TQFMWDB1ST12,TRD.QFM
TQFMWDB1HV11,TRD.QFM
TQFMWDB1HV12,TRD.QFM
