"_time",host,"database_name","session_id","wait_type",command,"head_blocker","query_text","blocked_sessions_count","total_blocked_wait_time_ms"
"2026-01-31T23:25:18.000+0800",WINFODB06HV11,"oi_analytics_db",475,"",DELETE,1,"CREATE PROCEDURE dbo.uspx_ticket_divcal_plc(    @data dbo.udt_ticket_divcal_plc READONLY   ,@now                  DATETIME2)ASBEGIN    DECLARE            @i                       INT = 1          ,@error_message  VARCHAR(250)          ,@operation_type  VARCHAR(50) = 'UPSERT'          ,@bizdate                DATE          ,@system_id           TINYINT          ,@ticket_id            BIGINT          ,@pool_id              BIGINT          ,@line_id            SMALLINT          ,@combination_id     SMALLINT          ,@activity_id          BIGINT;    SELECT @bizdate = bizdate          ,@system_id = system_id          ,@ticket_id = ticket_id          ,@activity_id = activity_id    FROM   @data;    --    IF @@rowcount = 0    BEGIN        RETURN;    END;    -- for handling incoming divcal async case if any    IF NOT EXISTS    (        SELECT 1        FROM   dbo.ticket_divcal_plc        WHERE  system_id = @system_id AND ticket_id = @ticket_id AND update_activity_id >= @activity_id    )    BEGIN        -- skip checking bizdate        DELETE dbo.ticket_divcal_plc        WHERE  system_id = @system_id AND ticket_id = @ticket_id;        INSERT INTO dbo.ticket_divcal_plc               (bizdate               ,system_id               ,ticket_id               ,pool_id               ,line_id               ,combination_id               ,create_activity_id               ,create_at               ,update_activity_id               ,update_at)        SELECT @bizdate              ,@system_id              ,@ticket_id              ,pool_id              ,line_id              ,combination_id              ,@activity_id              ,@now              ,@activity_id              ,@now        FROM   @data;    END;END;",0,0
"2026-01-31T23:05:18.000+0800",WINFODB06HV11,"oi_analytics_db",469,"",INSERT,1,"CREATE PROCEDURE dbo.uspx_activity_insert(@tvp_activity    dbo.udt_log_activity READONLY   ,@system_datetime            DATETIME2   ,@is_retry                         BIT = 0 OUTPUT)ASBEGINDECLARE    @error_code              INT = 0  ,@error_message NVARCHAR(250) = ''  ,@count                   INT = 0  ,@system_id           TINYINT  ,@activity_id          BIGINT;SELECT @system_id = system_id  ,@activity_id = activity_idFROM   @tvp_activity;IF @@rowcount <> 1BEGINSELECT @error_code = 50001  ,@error_message = 'The input parameter should have exactly 1 record';THROW @error_code,@error_message,1;END;IF EXISTS(SELECT 1FROM   dbo.log_activity aWHERE  a.system_id = @system_id AND a.activity_id = @activity_id)BEGINSELECT @is_retry = 1;SELECT @error_message = 'Activity already exist';THROW 50002,@error_message,1;END;ELSEBEGININSERT INTO dbo.log_activity   (system_id   ,activity_id   ,activity_code   ,activity_type   ,message_type   ,activity_date   ,activity_datetime   ,sell_request_id   ,counter_offer_id   ,ticket_id   ,sell_request_status   ,ticket_status   ,counter_offer_type   ,collation_type   ,bet_intercept_reason   ,counter_offer_count   ,collation_sequence   ,usp_name   ,activity_data   ,result_code   ,result_text   ,error_text   ,create_at   ,update_at   ,gzip_activity_data)SELECT system_id  ,activity_id  ,activity_code  ,activity_type  ,message_type  ,activity_date  ,activity_datetime  ,sell_request_id  ,counter_offer_id  ,ticket_id  ,sell_request_status  ,ticket_status  ,counter_offer_type  ,collation_type  ,bet_intercept_reason  ,counter_offer_count  ,collation_sequence  ,usp_name  ,NULL   -- activity_data  ,result_code  ,result_text  ,error_text  ,@system_datetime  ,@system_datetime  ,gzip_activity_dataFROM   @tvp_activity;END;UPDATE dbo.defer_activitySET    activity_status = 1,update_at = @system_datetimeWHERE  system_id = @system_id AND @activity_id = activity_id AND activity_status = 0;END;",0,0
"2026-01-31T22:02:17.000+0800",WINFODB06HV11,"oi_analytics_db",488,"",UPDATE,1,"CREATE PROCEDURE dbo.usp_scheduler_log_task_get(--Input Parameters@bizdate             DATE -- output   ,@return_msg NVARCHAR(500) = '' OUTPUT)ASBEGINSET NOCOUNT ON;-- Set Default valuesDECLARE    @tran_count            INT = 0  ,@return_code           INT = 0  ,@now             DATETIME2 = dbo.udfnc_get_datetime2()  ,@now_with_offset DATETIME2 = dbo.udf_get_datetime2_with_offset();-- Get Pool DescriptionBEGIN TRYBEGIN TRANSACTION;IF @bizdate IS NULLBEGINSET @bizdate = dbo.udf_get_bizdate();END;DECLARE    @schedule_task TABLE(task_id    BIGINT);UPDATE aSET    a.task_status = 1,a.no_of_execution = ISNULL(a.no_of_execution,0)+1,a.update_at = @nowOUTPUT inserted.task_id   INTO @schedule_taskFROM   dbo.log_task aWHERE  a.bizdate <= @bizdate AND a.task_status = 0 AND a.task_type = 2-- 1:report, 2:adhocAND (a.schedule_at IS NULL OR a.schedule_at < @now_with_offset);-- tasksSELECT b.task_id  ,b.bizdate  ,b.task_type  ,b.task_status  ,b.schedule_at  ,b.checkpoint_id  ,b.no_of_execution  ,c.task_handlerFROM   @schedule_task a   INNER JOIN dbo.log_task b ON b.task_id = a.task_id   INNER JOIN dbo.log_adhoc_task c ON c.task_id = a.task_idORDER BY b.task_id;-- task default parametersSELECT a.task_id  ,b.parameter_name  ,b.parameter_type  ,b.parameter_valueFROM   @schedule_task a   INNER JOIN dbo.log_adhoc_task_parameter b ON a.task_id = b.task_idORDER BY b.task_id,b.parameter_name;COMMIT TRANSACTION;END TRY-- Error HandlingBEGIN CATCH-- Rollback Unit of workIF @tran_count = 0 AND XACT_STATE() <> 0BEGINROLLBACK TRANSACTION;END;BEGINSET @return_code = ERROR_NUMBER();SET @return_msg = SUBSTRING('ERROR in '+ERROR_PROCEDURE()+' line '+CONVERT(VARCHAR(100),ERROR_LINE())+': '+ERROR_MESSAGE(),1,500);END;END CATCH;-- Reset NOCOUNT to OFFSET NOCOUNT OFF;RETURN @return_code;END;",0,0
"2026-01-31T20:55:17.000+0800",WINFODB06HV11,"oi_analytics_db",295,"PAGELATCH_SH",INSERT,1,"CREATE PROCEDURE dbo.uspx_ticket_divcal(    @data dbo.udt_ticket_divcal READONLY   ,@now              DATETIME2)ASBEGIN    DECLARE            @error_message  VARCHAR(250)          ,@operation_type  VARCHAR(50) = 'UPSERT';    MERGE INTO dbo.ticket_divcal /*WITH (HOLDLOCK)*/ AS t    USING @data AS s    ON t.system_id = s.system_id AND t.ticket_id = s.ticket_id        WHEN MATCHED AND @operation_type IN('UPDATE','UPSERT') AND t.update_activity_id < s.activity_id          THEN UPDATE SET           --skip updating bizdate field coz it will be used in partition                          t.child_ticket_id = s.child_ticket_id,                          t.divcal_amount = s.divcal_amount,                          t.selective_refund_amount = s.selective_refund_amount,                          t.is_divcal_done = s.is_divcal_done,                          t.update_activity_id = s.activity_id,                          t.update_at = @now        WHEN MATCHED AND @operation_type IN('DELETE') AND t.update_activity_id < s.activity_id          THEN DELETE        WHEN NOT MATCHED BY TARGET AND @operation_type IN('INSERT','UPSERT')          THEN          INSERT(bizdate                ,system_id                ,ticket_id                ,child_ticket_id                ,divcal_amount                ,selective_refund_amount                ,is_divcal_done                ,create_activity_id                ,create_at                ,update_activity_id                ,update_at)          VALUES                 (s.bizdate                 ,s.system_id                 ,s.ticket_id                 ,s.child_ticket_id                 ,s.divcal_amount                 ,s.selective_refund_amount                 ,s.is_divcal_done                 ,s.activity_id                 ,@now                 ,s.activity_id                 ,@now);END;",0,0
"2026-01-31T08:45:17.000+0800",WINFODB06HV11,"oi_analytics_db",431,"HADR_SYNC_COMMIT","COMMIT TRANSACTION",1,"CREATE PROCEDURE dbo.usp_ap_ticket_divcal(    @activity        dbo.udt_log_activity READONLY   ,@divcal         dbo.udt_ticket_divcal READONLY   ,@divcal_plc dbo.udt_ticket_divcal_plc READONLY    --Output Parameters   ,@return_msg             NVARCHAR(500) = '' OUTPUT)ASBEGIN    SET NOCOUNT ON;    -- Set Default values    DECLARE            @tran_count  INT = 0          ,@return_code INT = 0;    DECLARE            @system_datetime DATETIME2 = dbo.udfnc_get_datetime2()          ,@is_retry              BIT = 0          ,@is_cancel             BIT = 1          ,@is_reverse            BIT = 0;    -- Start Unit Of Work    SELECT @tran_count = @@trancount;    IF XACT_STATE() = 0    BEGIN        BEGIN TRANSACTION;    END;    BEGIN TRY        -- insert activity table        EXEC dbo.uspx_activity_insert              @activity,             @system_datetime,             @is_retry OUTPUT;        -- set default value, expecially ticket_id, coz it maybe pointing to child ticket_id after partial pay        DECLARE                @system_id                TINYINT              ,@ticket_id                 BIGINT -- TODO: for checking parent ticket id              ,@divcal_new dbo.udt_ticket_divcal;        SELECT @system_id = system_id              ,@ticket_id = ticket_id        FROM   @divcal;        SELECT @ticket_id = ticket_id        FROM   dbo.ticket_payout        WHERE  system_id = @system_id AND next_ticket_id = @ticket_id;        --        -- set parent @ticket_id        INSERT INTO @divcal_new               (bizdate               ,system_id               ,ticket_id               ,child_ticket_id               ,divcal_amount               ,selective_refund_amount               ,is_divcal_done               ,activity_id)        SELECT bizdate              ,system_id              ,@ticket_id              ,ticket_id              ,divcal_amount              ,selective_refund_amount              ,is_divcal_done              ,activity_id        FROM   @divcal;        --        -- divcal        EXEC dbo.uspx_ticket_divcal              @divcal_new,             @system_datetime;        --        -- divcal plc for selective refund        EXEC dbo.uspx_ticket_divcal_plc              @divcal_plc,             @system_datetime;        -- Commit Unit of Work        IF @tran_count = 0 AND @@trancount = 1        BEGIN            COMMIT TRANSACTION;        END;        RETURN @return_code;    END TRY    BEGIN CATCH        IF @tran_count = 0 AND XACT_STATE() <> 0        BEGIN            ROLLBACK TRANSACTION;        END;        BEGIN            SELECT @return_code = ERROR_NUMBER()            WHERE  @return_code = 0;            SET @return_msg = SUBSTRING('ERROR in '+ERROR_PROCEDURE()+' line '+CONVERT(VARCHAR(100),ERROR_LINE())+': '+ERROR_MESSAGE(),1,500);        END;    END CATCH;    RETURN @return_code;END;",0,0
"2026-01-31T07:42:17.000+0800",WINDB11HV01N,"acp_archive_db",54,"","BULK INSERT",1,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)",59,5097893
"2026-01-31T06:46:42.000+0800",WINDB08HV01N,"agp3_db",58,"",SELECT,1,"CREATE PROCEDURE usp_agp_get_edabi_rpt_1522(@error_codeintoutput,@error_msgvarchar(500)output,@bizdateint)ASBEGIN TRY--DECLARE  --@tvpnc_fo_edabidbo.tvpnc_fo_edabiDECLARE @payout_expired_bizdate intSET NOCOUNT ONSELECT @error_code = 0, @error_msg = NULL-- temp testing only-- set @bizdate  = 20190622IF @bizdate is nullBEGINSET @bizdate=dbo.udf_dateadd_bizdate(dbo.udf_get_data_grouping_bizdate(), -1)ENDIF NOT EXISTS(SELECT 1 FROM tempdb.sys.tables WHERE name='##tmp_fo_edabi_rpt')BEGINSELECT b.div_cal_done_bizdate, a.payout_expire_bizdateINTO ##tmp_fo_edabi_rptFROM settled_fo_tickets a JOIN settled_fo_ticket_dividends b ON a.ticket_id=b.ticket_idGROUP BY b.div_cal_done_bizdate, a.payout_expire_bizdateENDset @payout_expired_bizdate = @bizdate--get tickets channel by system--INSERT INTO @tvpnc_fo_edabi(ticket_id, channel_id, selling_centre_no, sbpoolcategory, system_id)--EXEC dbo.uspx_get_tickets_channel_by_systemSELECT @bizdateAS BusinessDate, ISNULL(ticket.channel_id, 0)AS Channel,  ISNULL(ticket.selling_centre_no, 0)AS LiabilityCentreNo,  ISNULL(ticket.bet_type_id, 0)AS BetType,  ISNULL(ticket.sbpoolcategory, 0)AS SBPoolCategory,COUNT(CASE WHEN ticket.is_head_office = 0 THEN 1 END)AS NoOfTicketUnpaid,SUM(CASE WHEN ticket.is_head_office = 0 THEN ticket.div_cal_amt - ticket.previous_payout_amt ELSE 0 END)AS UnpaidLiabilityAmount,COUNT(CASE WHEN ticket.is_head_office = 1 THEN 1 END)AS NoOfHOTicketUnpaid,SUM(CASE WHEN ticket.is_head_office = 1 THEN ticket.div_cal_amt - previous_payout_amt ELSE 0 END)AS UnpaidHOLiabilityAmount,SUM(CASE WHEN ticket.is_head_office = 0 AND ticket.payout_expire_bizdate = @payout_expired_bizdate AND ticket.is_settled = 1 THEN 1 ELSE 0 END)AS NoOfTodayPurgedTickets, --no FO ticket forfeited SUM(CASE WHEN ticket.is_head_office = 0 AND ticket.payout_expire_bizdate = @payout_expired_bizdate AND ticket.is_settled = 1 THEN (div_cal_amt - previous_payout_amt) ELSE 0 END)AS TodayPurgedAmount,SUM(CASE WHEN ticket.is_head_office = 1 AND ticket.payout_expire_bizdate = @payout_expired_bizdate AND ticket.is_settled = 1 THEN 1 ELSE 0 END)AS NoOfTodayPurgedHOTickets,SUM(CASE WHEN ticket.is_head_office = 1 AND ticket.payout_expire_bizdate = @payout_expired_bizdate AND ticket.is_settled = 1 THEN (div_cal_amt - previous_payout_amt) ELSE 0 END)AS TodayPurgedHOAmount--COUNT(CASE WHEN ticket.payout_expire_bizdate = @bizdate THEN 1 END)AS NoOfTodayPurgedTickets,--SUM(CASE WHEN ticket.payout_expire_bizdate = @bizdate THEN ticket.div_cal_amt ELSE 0 END)AS TodayPurgedAmount,--COUNT(CASE WHEN ( ticket.payout_expire_bizdate = @bizdate AND ticket.is_head_office = 1) THEN 1 END)AS NoOfTodayPurgedTickets,--SUM(CASE WHEN (ticket.payout_expire_bizdate = @bizdate AND ticket.is_head_office = 1) THEN ticket.div_cal_amt ELSE 0 END)AS TodayPurgedAmountFROM (SELECTDISTINCT ft.ticket_id, --ISNULL(tfe.selling_centre_no, 0) AS selling_centre_no,--selling_centre_noISNULL(fts.selling_centre_no, 0) AS selling_centre_no,--tfe.channel_id,ISNULL(edabi_vw.channel_id,5) AS channel_id, -- hard code 5 if case that activities purgedfmp.bet_type_id,--tfe.sbpoolcategory,--1 FO , 2 --PMU1 AS sbpoolcategory,ft.is_head_office,ISNULL(t3.last_payout_date_win, ft.payout_expire_bizdate) as payout_expire_bizdate,ftd.is_settled,ISNULL(ft.paid_bizdate, 0) AS paid_bizdate,AVG(ft.previous_payout_amt) OVER(PARTITION BY ft.ticket_id) AS previous_payout_amt, AVG(ft.total_payout_amt) OVER(PARTITION BY ft.ticket_id) AS total_payout_amt, AVG(ftd.div_cal_amt) OVER(PARTITION BY ftd.ticket_id) AS div_cal_amtFROM dbo.fo_tickets_vw ftINNER JOIN dbo.fo_ticket_betlines_vw ftb ON ft.ticket_id = ftb.ticket_id--INNER JOIN dbo.fo_ticket_combinations_vw ftc ON ft.ticket_id = ftc.ticket_idINNER JOIN dbo.fo_ticket_dividends_vw ftd ON ft.ticket_id = ftd.ticket_id INNER JOIN fo_ticket_supplymentary_vw fts ON fts.ticket_id = ft.ticket_id--INNER JOIN @tvpnc_fo_edabi tfe ON tfe.ticket_id = ft.ticket_id                --INNER JOIN dbo.fo_activities_source_cbt_vw fasc_sell ON edabi_vw.fo_activity_id = fasc_sell.fo_activity_idINNER JOIN dbo.fo_msg_pools fmp ON fmp.pool_id = ftb.pool_idINNER JOIN dbo.fo_msg_pool_status fmps ON fmps.pool_id = fmp.pool_id    INNER JOIN fo_msg_event_id_with_leg_ids fmeiwli ON fmp.pool_id = fmeiwli.pool_id                INNER JOIN fo_msg_events fme on fmeiwli.event_id =fme.event_idLEFT JOIN dbo.get_edabi_channel_vw edabi_vw ON ft.orig_ticket_id = edabi_vw.ticket_idLEFT JOIN (select --pool_id,t2.div_cal_done_bizdate, t2.payout_expire_bizdate, CASE WHEN t2.payout_expire_bizdate >= t2.last_payout_date_win THEN t2.payout_expire_bizdate ELSE t2.last_payout_date_win END AS last_payout_date_winfrom (select  t1.div_cal_done_bizdate,t1.payout_expire_bizdate,eetp.last_payout_date_win,row_number() over(partition by div_cal_done_bizdate,payout_expire_bizdate order by eetp.last_payout_date_win desc) as row_idfrom ##tmp_fo_edabi_rpt t1join  extend_expired_ticket_pay eetp WITH(SNAPSHOT) ON t1.payout_expire_bizdate >= eetp.branch_exceptional_closing_date AND t1.div_cal_done_bizdate < eetp.branch_reopen_date ) t2 where t2.row_id = 1 and CASE WHEN t2.payout_expire_bizdate >= t2.last_payout_date_win THEN t2.payout_expire_bizdate  ELSE t2.last_payout_date_win END >= @bizdate) t3 on t3.div_cal_done_bizdate=ftd.div_cal_done_bizdate and t3.payout_expire_bizdate=ft.payout_expire_bizdateWHERE ft.ticket_status = 2 -- sell, paid, partial_paidAND ftd.div_cal_amt - ft.previous_payout_amt >0--winning and refund tickets --AND fmps.pool_status IN (41, 60)--41PayoutStarted, 60 ConcludedAND fme.event_type_id = 1--AND fmp.bet_type_id IN --(--Tournament pool bet_type_id--SELECT bet_type_id FROM fo_msg_dict_bet_type--WHERE bet_type IN ('CHP', 'GPW', 'GPF', 'TPS', 'TQL', 'TSPC', 'JKC', 'TNC')--)--AND ft.ticket_id = 57 ) AS ticketGROUP BY ticket.channel_id, ticket.selling_centre_no, ticket.bet_type_id, ticket.sbpoolcategory  OPTION(MAXDOP 1) END TRYBEGIN CATCHSELECT @error_code = ERROR_NUMBER(), @error_msg = ERROR_MESSAGE()RETURN @error_codeEND CATCHRETURN @error_code",10,368081
