updated,db,host,Path,trend,"is_up","range_mb","used_%","used_mb","allocated_mb",free,"target_allocation_mb"
"2026-01-31 02:30:02","cdf_alp_db",WINFODB07HV11,"G:\MSSQL15.WININS\MSSQL\Data\CDF2\cdf_alp_db_fg01_file01.ndf","##__SPARKLINE__##,,,,,,16427,18185,20430,23052,25620,30761,34751,36501,38508,41352,43525,46011,52026,56130,57865,60144,63005,66899,69576,75268,79899,81534,83243,85510,88319,90555",Y,74128,"88.43",90555,102400,"627.8G",1779072
"2026-01-31 02:30:17","qfm_outbound_db",QFMWDB1HV11,"U:\MSSQL16.TQFMINS\MSSQL\Data\QFM\qfm_outbound_db_fg_202601.ndf","##__SPARKLINE__##,,99,,,917,1305,1406,1642,1905,2092,2303,2804,3221,3418,3632,3927,4111,4440,4998,5480,5650,5879,6147,6401,6673,7221,7698,7884,8041,8356,8601",Y,8502,"93.32",8601,9217,"7.4T",204048
"2026-01-31 02:30:02","oi_analytics_db",WINFODB06HV11,"J:\MSSQL15.WININS\MSSQL\Data\OI\oi_analytics_db_month_01.ndf","##__SPARKLINE__##,,,,,57038,63937,75573,85301,96630,108413,129341,148485,156202,166255,178296,189665,202887,226575,245688,253984,263612,274429,283176,293857,316541,336133,344708,352535,363689,373240,387054",Y,330016,"95.45",387054,405504,"7.2T",7920384
"2026-01-31 02:30:02","acp_archive_db",WINDB11HV01N,"G:\MSSQL15.WININS\MSSQL\Data\acp_archive_db_year_202601_File1.ndf","##__SPARKLINE__##,,,,,,5092,5458,6057,7271,7889,8329,9307,10907,11227,11851,13102,13724,14290,15288,16927,17292,18037,19246,19771,20227,21248,22824,23206,23786,25061,25721",Y,20629,"96.61",25721,26624,"3.0T",495096
"2026-01-31 02:30:02","acp_archive_db",WINDB11HV01N,"G:\MSSQL15.WININS\MSSQL\Data\acp_archive_db_year_202511_File1.ndf","##__SPARKLINE__##,,,,,,44810,50545,52855,54762,60492,68020,68898,70791,76140,78433,80344,87144,91533,92779,95380,100733,103256,104928,107630,114627,115795,119604,125145,126561,127832,130375",Y,85565,"99.47",130375,131072,"3.0T",2053560
"2026-01-31 02:30:02","acp_archive_db",WINDB11HV01N,"G:\MSSQL15.WININS\MSSQL\Data\acp_archive_db_year_2025_File1.ndf","##__SPARKLINE__##,,,,,,83700,83700,83701,83701,83701,83701,83701,83702,83702,83703,83703,83703,83704,83704,83705,83705,83705,83705,83705,83705,83706,83706,83706,83706,83706,83720",Y,20,"99.70",83720,83968,"3.0T",480
"2026-01-31 02:30:02","oi_analytics_db",WINFODB06HV11,"J:\MSSQL15.WININS\MSSQL\Data\OI\oi_analytics_db_system_20260020.ndf","##__SPARKLINE__##,,,,,30582,33860,39994,45466,51005,57068,67784,77660,81667,86924,93085,98627,105829,117976,127576,131660,136823,142483,146680,152058,163680,173632,177913,181969,187865,192781,200138",Y,169556,"99.72",200138,200704,"7.2T",4069344
"2026-01-31 02:30:02","oi_analytics_db",WINFODB06HV11,"J:\MSSQL15.WININS\MSSQL\Data\OI\oi_analytics_db_system_20260021.ndf","##__SPARKLINE__##,,,,,28867,31986,37782,42943,48177,53966,64073,73318,77068,82050,87939,93214,100026,111483,120513,124419,129319,134691,138701,143847,154818,164147,168187,172012,177592,182266,189235",Y,160368,"99.89",189235,189440,"7.2T",3848832
"2026-01-31 02:30:02","asc_db",WINDB11HV01N,"O:\MSSQL15.WININS\MSSQL\Data\ASC\YEAR2026\MDF\asc_db_file_month_202601.mdf","##__SPARKLINE__##,,,,,,54544,62221,72357,79979,87529,102153,118543,123503,130429,141792,149556,157995,173234,189496,194928,202052,212846,218689,225792,240824,257227,262733,268322,279005,285948,294624",Y,240080,"99.90",294624,294912,"2.1T",5761920
"2026-01-31 02:30:17","qfm_inbound_db",QFMWDB1HV11,"K:\MSSQL16.TQFMINS\MSSQL\Data\QFM\qfm_inbound_db_fg_202601.ndf","##__SPARKLINE__##,,0,,,0,0,0,0,5194,25884,43050,74735,105507,114740,136207,155697,173276,193018,229628,261134,274184,291822,313877,327666,354483,394756,425793,437828,456670,475195,489381",Y,489381,"99.98",489381,489473,"9.2T",11745144
"2026-01-31 02:30:02","oi_analytics_db",WINFODB06HV11,"J:\MSSQL15.WININS\MSSQL\Data\OI\oi_analytics_db_year_2026.ndf","##__SPARKLINE__##,,,,,13955,17944,19969,23161,26554,29459,33733,39696,43868,46328,49537,53023,55548,61088,67664,71790,74126,77179,80257,82906,87271,93535,97987,100339,103022,106314,109557",Y,95602,"99.99",109557,109568,"7.2T",2294448
