earliest,latest,currentdbname,count,"all_query"
"2026/01/19 10:48:01.680","2026/01/23 23:41:30.490","K2_Custom",47807,"frame procname=K2_Custom.dbo.unlock_user_task line=19 stmtstart=660 stmtend=1224 sqlhandle=0x03000500fda84c3af2ead500c3b1000001000000000000000000000000000000000000000000000000000000"
"2026/01/19 15:47:31.690","2026/01/23 22:27:18.120","csa_db",546,"frame procname=csa_db.dbo.usp_set_customer_profile line=48 stmtstart=2724 stmtend=3070 sqlhandle=0x03000600ec3b871cb075c700b8af000001000000000000000000000000000000000000000000000000000000"
"2026/01/20 07:27:06.190","2026/01/22 17:10:03.520","sps_db",50,"(@P0 bigint)SELECT"
"2026/01/22 17:10:03.520","2026/01/22 17:10:03.520","sps_db",2,"(@P0 int,@P1 bigint,@P2 bigint,@P3 nvarchar(4000),@P4 bit,@P5 int,@P6 bigint)UPDATE tour_group_nodes SET	"
"2026/01/22 17:10:03.520","2026/01/22 17:10:03.520","sps_db",2,"frame procname=adhoc line=1 stmtstart=154 stmtend=650 sqlhandle=0x02000000875cdc215d8b48496a9ead874e55ca4d1bd792ce0000000000000000000000000000000000000000"
"2026/01/22 17:10:03.520","2026/01/22 17:10:03.520","sps_db",2,"frame procname=adhoc line=1 stmtstart=24 stmtend=990 sqlhandle=0x02000000e336a603a3e953c25045831a553279c6741ce3fd0000000000000000000000000000000000000000"
"2026/01/20 11:25:47.320","2026/01/22 11:30:13.130","csa_db",139,"("
"2026/01/20 11:25:47.320","2026/01/22 11:30:13.130","csa_db",139,"@account_number,"
"2026/01/21 17:25:48.010","2026/01/22 11:30:13.130","csa_db",149,"@account_status,"
"2026/01/20 11:25:47.320","2026/01/22 11:30:13.130","csa_db",71,"@crm_case_id,"
"2026/01/20 11:25:47.320","2026/01/22 11:30:13.130","csa_db",72,"@customer_id,"
"2026/01/21 17:25:48.010","2026/01/22 11:30:13.130","csa_db",58,"@segment,"
"2026/01/21 17:25:48.010","2026/01/22 11:30:13.130","csa_db",155,"insert into dbo.account_customer values"
"2026/01/22 11:07:16.560","2026/01/22 11:30:13.130","csa_db",3,"waiter-list"
"2026/01/21 14:56:22.420","2026/01/22 11:17:07.080","csa_db",63,"@update_date     "
"2026/01/22 11:06:02.550","2026/01/22 11:12:45.680","csa_db",3,"owner-list"
"2026/01/22 11:06:02.550","2026/01/22 11:06:02.550","csa_db",2,"keylock hobtid=72057594048937984 dbid=6 objectname=csa_db.dbo.account_customer indexname=IX_account_customer_customer_id_account_number_account_status id=lock1df189e3880 mode=RangeS-S associatedObjectId=72057594048937984"
"2026/01/22 11:06:02.550","2026/01/22 11:06:02.550","csa_db",2,"owner id=process1dbd9dca108 mode=RangeI-N requestType=convert"
"2026/01/22 06:27:07.860","2026/01/22 06:27:07.860","K2_Custom",7,"frame procname=K2_Custom.dbo.unlock_task_item line=22 stmtstart=894 stmtend=1280 sqlhandle=0x03000500b7f6c349d6361f01acae000001000000000000000000000000000000000000000000000000000000"
"2026/01/22 02:07:18.710","2026/01/22 02:07:23.720","sps_db",8,"(@P0 bigint,@P1 nvarchar(4000))SELECT"
"2026/01/22 02:07:18.710","2026/01/22 02:07:23.720","sps_db",8,"frame procname=adhoc line=1 stmtstart=62 stmtend=546 sqlhandle=0x02000000022dd0273316921cf0c626be35fee691ec5c978b0000000000000000000000000000000000000000"
"2026/01/21 07:24:52.600","2026/01/21 07:25:55.290","sps_db",12,"(@P0 bigint,@P1 varbinary(8000),@P2 int,@P3 nvarchar(4000))DECLARE @id BIGINT =  @P0 ,"
"2026/01/21 07:25:55.290","2026/01/21 07:25:55.290","sps_db",3,"deadlock victim=process16ff2c51468"
"2026/01/20 07:27:06.190","2026/01/21 07:25:55.290","sps_db",48,"frame procname=adhoc line=1 stmtstart=24 stmtend=926 sqlhandle=0x020000000249a4307121b4b9ad7976a363d896a8470e4f1b0000000000000000000000000000000000000000"
"2026/01/21 07:25:55.290","2026/01/21 07:25:55.290","sps_db",3,"keylock hobtid=72057594679197696 dbid=5 objectname=sps_db.dbo.feed_records indexname=PK__feed_rec__3213E83F9EEE4148 id=lock1787c010c00 mode=X associatedObjectId=72057594679197696"
"2026/01/21 07:25:55.280","2026/01/21 07:25:55.290","sps_db",8,"owner id=process1708eed9848 mode=S requestType=wait"
"2026/01/21 07:25:55.280","2026/01/21 07:25:55.290","sps_db",8,"owner-list"
"2026/01/21 07:25:55.290","2026/01/21 07:25:55.290","sps_db",33,"unknown     "
"2026/01/21 07:25:55.290","2026/01/21 07:25:55.290","sps_db",3,"waiter-list"
"2026/01/21 07:24:52.600","2026/01/21 07:24:52.600","sps_db",2,"frame procname=adhoc line=7 stmtstart=496 stmtend=1154 sqlhandle=0x020000002627fa399813a5886677009961ee34d3cda2db170000000000000000000000000000000000000000"
"2026/01/20 07:24:54.550","2026/01/20 07:27:11.200","sps_db",7,"(@P0 bigint,@P1 varbinary(8000),@P2 int,@P3 varbinary(8000))DECLARE @id BIGINT =  @P0 ,"
"2026/01/20 07:24:54.550","2026/01/20 07:27:11.200","sps_db",7,"frame procname=adhoc line=7 stmtstart=498 stmtend=1156 sqlhandle=0x02000000b1d67e006ee328d86accc33b249926d3201373d90000000000000000000000000000000000000000"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,10,"(@P0 bigint)SELECT"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"(@P0 bigint,@P1 varbinary(8000),@P2 int,@P3 nvarchar(4000))DECLARE @id BIGINT =  @P0 ,"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"(@P0 bigint,@P1 varbinary(8000),@P2 int,@P3 varbinary(8000))DECLARE @id BIGINT =  @P0 ,"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"SELECT * FROM [sps_db].[dbo].[feed_records] WHERE composite_key like '%50622674%' and composite_key like '%50622686%' and composite_key like '%52067620%' and (SUBSTRING(composite_key,28,16) > '2024-03-08T09:23:00' and SUBSTRING(composite_key,28,16) < '2024-03-14T09:23:00')    "
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"frame procname=adhoc line=1 stmtend=544 sqlhandle=0x020000006e69f43582279de25a3a8e4a25866425d16865d40000000000000000000000000000000000000000"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"frame procname=adhoc line=1 stmtstart=24 stmtend=1106 sqlhandle=0x02000000c5e6d905b939d8f5b1aac16b25bbde868ec210120000000000000000000000000000000000000000"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"frame procname=adhoc line=1 stmtstart=24 stmtend=926 sqlhandle=0x020000000249a4307121b4b9ad7976a363d896a8470e4f1b0000000000000000000000000000000000000000"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"frame procname=adhoc line=7 stmtstart=496 stmtend=1154 sqlhandle=0x020000002627fa399813a5886677009961ee34d3cda2db170000000000000000000000000000000000000000"
"2026/01/20 07:24:59.560","2026/01/20 07:24:59.560",master,5,"frame procname=adhoc line=7 stmtstart=498 stmtend=1156 sqlhandle=0x02000000b1d67e006ee328d86accc33b249926d3201373d90000000000000000000000000000000000000000"
"2026/01/20 07:24:54.550","2026/01/20 07:24:54.550","sps_db",2,"(@P0 bigint,@P1 bigint,@P2 int,@P3 int)INSERT INTO event_record_links ("
"2026/01/20 07:24:54.550","2026/01/20 07:24:54.550","sps_db",2,"frame procname=adhoc line=1 stmtstart=78 stmtend=468 sqlhandle=0x020000001050d709500816df169464af3d630387a91b0f970000000000000000000000000000000000000000"
"2026/01/19 10:47:56.170","2026/01/19 10:47:56.170","sps_db",2,"(@P0 bigint,@P1 bigint)SELECT"
"2026/01/19 10:47:56.170","2026/01/19 10:47:56.170","sps_db",2,"(@P0 nvarchar(4000),@P1 nvarchar(4000),@P2 int,@P3 bigint)DECLARE @status table"
"2026/01/19 10:47:56.170","2026/01/19 10:47:56.170","sps_db",2,"frame procname=adhoc line=1 stmtstart=46 stmtend=8046 sqlhandle=0x02000000c320a62af7313f7514ff0b8a0a20ba34a2d0d6a10000000000000000000000000000000000000000"
"2026/01/19 10:47:56.170","2026/01/19 10:47:56.170","sps_db",2,"frame procname=adhoc line=6 stmtstart=260 stmtend=780 sqlhandle=0x020000006747a8207896bb6391d2b3ffa90e08c915ac7c760000000000000000000000000000000000000000"
"2026/01/24 00:13:18.390","2026/01/30 07:12:39.140","K2_Custom",47514,"frame procname=K2_Custom.dbo.unlock_user_task line=19 stmtstart=660 stmtend=1224 sqlhandle=0x03000500fda84c3af2ead500c3b1000001000000000000000000000000000000000000000000000000000000"
"2026/01/29 18:50:27.000","2026/01/29 18:50:27.000","rs_db",8,"(@P0 int,@P1 bigint,@P2 varchar(8000),@P3 varchar(8000),@P4 int,@P5 datetime2,@P6 varchar(8000),@P7 int,@P8 varchar(8000),@P9 varchar(8000))update [wagering_general].[hot_favorite_combination] set exprr_preload_indicator= @P0 ,last_updated_time= @P1 ,migration_key= @P2 ,migration_key_2= @P3 ,sys_active_indicator= @P4 ,sys_updated_datetime= @P5 where combination_id= @P6 and hot_fav_order= @P7 and hot_fav_period= @P8 and pool_id= @P9     "
"2026/01/29 18:50:27.000","2026/01/29 18:50:27.000","rs_db",6,"(@P0 int,@P1 varchar(8000),@P2 varchar(8000),@P3 int,@P4 int,@P5 bigint,@P6 bigint,@P7 bigint,@P8 varchar(8000),@P9 bigint,@P10 varchar(8000),@P11 varchar(8000),@P12 varchar(8000),@P13 bigint,@P14 varchar(8000),@P15 int,@P16 int,@P17 datetime2,@P18 varchar(8000),@P19 varchar(8000),@P20 int)update [wagering_general].[progressive_odds_and_investment] set collation_indicator= @P0 ,combination_status= @P1 ,combination_string= @P2 ,exprr_preload_indicator= @P3 ,hot_fav_indicator= @P4 ,investment= @P5 ,investment_last_updated_time= @P6 ,investment_merged_pool= @P7 ,investment_status= @P8 ,last_updated_time= @P9 ,migration_key= @P10 ,migration_key_2= @P11 ,odds= @P12 ,odds_drop_percentage= @P13 ,pool_id= @P14 ,src_order= @P15 ,sys_active_indicator= @P16 ,sys_updated_datetime= @P17 ,will_pay= @P18 where combination_id= @P19 and seq_no= @P20     "
