"host_mount","max_storage","avg_storage","max_storage_free","avg_storage_free","max_storage_free_pct","avg_storage_free_pct","max_storage_used","avg_storage_used","max_used_percent","avg_used_percent"
"ptrmmdbhv01_/data",185344,185344,164864,"164364.35064303092","94.0","93.20896767466111",12288,"11504.7485575252",7,"6.791032325338895"
"ptrmmdbhv02_/data",185344,185344,164864,"164850.51320544898","94.0","93.06255212677232",11264,11264,7,"6.93744787322769"
"ptrmmdbst01_/data",185344,185344,164864,164864,"94.0","93.57246351203308",11264,"11129.309820829063",7,"6.427536487966922"
"ptrmmdbst02_/data",185344,185344,164864,"164440.0537216371","93.0",93,12288,"11455.235456280483",7,7
"ptrmmdbst03_/data",185344,185344,164864,"164807.05483323912","94.0","93.09768937252686",11264,11264,7,"6.902310627473149"
"winodpsmdbhv01_/data",185344,185344,167936,167936,"95.0",95,7987,"7748.411576568747",5,5
"winodpsmdbhv02_/data",185344,185344,167936,167936,"95.0",95,7987,"7690.3341905887255",5,5
"winodpsmdbst01_/data",185344,185344,168960,168960,"96.0",96,6554,"6166.612619300106",4,4
"winodpsmdbst02_/data",185344,185344,169984,"169320.22992894263","96.0",96,6451,"6067.609502598367",4,4
"winodpsmdbst03_/data",185344,185344,169984,"168988.69776646877","96.0",96,6349,"6110.89454339836",4,4
"winodpsmomhv01_/data/appsdb",100352,100352,54272,"53642.71929946487","56.0","55.38578080478143",43008,"42404.48120091737",45,"44.61421919521857"
"winodpsmomhv01_/data/blockstore",503808,503808,353280,"345428.2421294044","73.0","71.77249982625617",150528,"132880.9195913545",32,"28.22750017374383"
"winodpsmomhv02_/data/appsdb",100352,100352,83968,"83966.57678943711","87.0",87,12288,12288,13,13
"winodpsmomhv02_/data/blockstore",503808,503808,364544,"357004.5420430855","76.0","74.17630298818624",140288,"121224.73495482975",30,"25.82369701181376"
"winodpsmomst01_/data/appsdb",100352,100352,46080,"29759.739846594322","48.0","30.269838464529357",81920,"66376.41765932628",86,"69.73016153547064"
"winodpsmomst01_/data/blockstore",503808,503808,297984,"290987.3121487399","62.0","60.33346293874377",205824,"187358.95373086847",44,"39.66653706125623"
"winodpsmomst02_/data/appsdb",100352,100352,54272,"53303.849280689974","56.0","55.04404227492842",43008,"42827.02371779011",46,"44.95595772507158"
"winodpsmomst02_/data/blockstore",503808,503808,346112,"337880.8367325298","72.0","70.19416068714432",160768,"140370.27181789262",34,"29.805839312855678"
