"host_mount","max_storage","avg_storage","max_storage_free","avg_storage_free","max_storage_free_pct","avg_storage_free_pct","max_storage_used","avg_storage_used","max_used_percent","avg_used_percent"
"ptrmmdbhv01_/data",185344,185344,156672,"156019.32268370606","89.0","88.3314696485623",20480,"20016.255591054312",12,"11.668530351437699"
"ptrmmdbhv02_/data",185344,185344,156672,"156018.8178189366","89.0","88.33067220182022",20480,"20005.52323167811",12,"11.669327798179786"
"ptrmmdbst01_/data",185344,185344,155648,155648,"88.0",88,20480,20480,12,12
"ptrmmdbst02_/data",185344,185344,155648,155648,"88.0",88,20480,"20013.773076125286",12,12
"ptrmmdbst03_/data",185344,185344,155648,155648,"88.0",88,20480,"20002.005811540057",12,12
"winodpsmdbhv01_/data",185344,185344,164864,"164292.39590026005","93.0",93,11264,11264,7,7
"winodpsmdbhv02_/data",185344,185344,164864,"164315.66350565923","93.0",93,11264,11264,7,7
"winodpsmdbst01_/data",185344,185344,160768,160768,"91.0",91,15360,15360,9,9
"winodpsmdbst02_/data",185344,185344,163840,163840,"93.0",93,12288,12288,7,7
"winodpsmdbst03_/data",185344,185344,161792,161792,"92.0",92,14336,14336,8,8
"winodpsmomhv01_/data/appsdb",100352,100352,67584,"67552.3137254902","70.0","69.97104779411765",28672,28672,31,"30.02895220588235"
"winodpsmomhv01_/data/blockstore",503808,503808,380928,"377335.3725490196","79.0","78.4188112745098",109568,"100896.62745098039",23,"21.581188725490197"
"winodpsmomhv02_/data/appsdb",100352,100352,84992,"84685.05082669933","88.0",88,12288,"11267.13533374158",12,12
"winodpsmomhv02_/data/blockstore",503808,503808,418816,"415342.3637477036","87.0","86.41870789957134",70656,"62865.63625229639",15,"13.581292100428659"
"winodpsmomst01_/data/appsdb",100352,100352,78848,"78496.67282373748","82.0","81.0786009039104",18432,"17409.408528198073",19,"18.921399096089605"
"winodpsmomst01_/data/blockstore",503808,503808,411648,"407544.95735900966","86.0","84.9451758695225",76800,"70848.16348988013",17,"15.0548241304775"
"winodpsmomst02_/data/appsdb",100352,100352,78848,"78379.19528023599","82.0","81.0117994100295",18432,"17411.624778761063",19,"18.9882005899705"
"winodpsmomst02_/data/blockstore",503808,503808,361472,"357721.9649950836","75.0","74.23716814159292",125952,"120486.03500491643",27,"25.76283185840708"
