"t.$date",host,c,"attr.ns","attr.command.getMore","attr.planSummary","attr.docsExamined","attr.keysExamined","attr.nreturned","attr.cpuNanos","attr.numYields","attr.storage.data.bytesRead","attr.storage.data.timeReadingMicros","attr.durationMillis","attr.workingMillis","health_scan_return_ratio","health_cpuNanos","health_queue_time_ratio","health_index_efficiency_ratio","health_disk_latency_per_mb","_raw"
"2026-01-02T04:00:55.244+08:00",ptrmmdbhv02,WRITE,"ptrm_cpc_db.audit_log",,COLLSCAN,1167861,0,,9572582528,1357,16568947963,17405816,25145,25145,,"0.38069527",0,0,"1.0505","{""t"":{""$date"":""2026-01-02T04:00:55.244+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn90248"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2025-01-01T20:00:29.210Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":1167861,""ndeleted"":0,""numYields"":1357,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1358}},""Global"":{""acquireCount"":{""w"":1358}},""Database"":{""acquireCount"":{""w"":1358}},""Collection"":{""acquireCount"":{""w"":1358}}},""flowControl"":{""acquireCount"":1358},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":16568947963,""timeReadingMicros"":17405816}},""cpuNanos"":9572582528,""remote"":""10.8.2.163:54674"",""queues"":{""execution"":{""admissions"":1359},""ingress"":{""admissions"":1}},""workingMillis"":25145,""durationMillis"":25145}}"
"2026-01-05T14:48:22.261+08:00",ptrmmdbhv02,COMMAND,"ptrm_cpc_db.audit_log",,COLLSCAN,1205886,0,1,9445534774,1102,16710169522,12748711,20202,20202,1205886,"0.46755444",0,0,"0.76293","{""t"":{""$date"":""2026-01-05T14:48:22.261+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn191198"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""appName"":""mongosh 1.8.0"",""queryShapeHash"":""00D4695CD7FBB7E46A9D8D745F453F0F5577544A666DDE22E2E857A106DFF684"",""command"":{""find"":""audit_log"",""filter"":{},""sort"":{""requestTime"":1},""limit"":1,""lsid"":{""id"":{""$uuid"":""1c49c92c-905d-48db-99b4-34da22009068""}},""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1767594531,""i"":2}},""signature"":{""hash"":{""$binary"":{""base64"":""wvrO6MTHez8ksAW31TdfGsyUO8g="",""subType"":""0""}},""keyId"":7562322421861056515}},""$db"":""ptrm_cpc_db""},""planSummary"":""COLLSCAN"",""planningTimeMicros"":153,""keysExamined"":0,""docsExamined"":1205886,""hasSortStage"":true,""nBatches"":1,""cursorExhausted"":true,""numYields"":1102,""nreturned"":1,""planCacheShapeHash"":""A1B6DFCA"",""planCacheKey"":""0AD930A2"",""queryFramework"":""classic"",""reslen"":1029,""locks"":{""Global"":{""acquireCount"":{""r"":1103}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":16710169522,""timeReadingMicros"":12748711},""timeWaitingMicros"":{""cache"":6}},""cpuNanos"":9445534774,""remote"":""10.8.2.171:59696"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":1104},""ingress"":{""admissions"":1}},""workingMillis"":20202,""durationMillis"":20202}}"
"2026-01-29T07:02:05.530+08:00",ptrmmdbhv02,COMMAND,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,62568,0,1,7663795468,914,1348009045,9691993,17151,17151,62568,"0.44684249",0,0,"7.1899","{""t"":{""$date"":""2026-01-29T07:02:05.530+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn186"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""697a9559274b7618d53582e2""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1769641308,""i"":1}},""signature"":{""hash"":{""$binary"":{""base64"":""RvhL7TurNCkIAds4FOxr/aDSn78="",""subType"":""0""}},""keyId"":7562322421861056515}},""lsid"":{""id"":{""$uuid"":""fa3b5d4f-3773-4136-b337-7e3e706f5831""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":86,""keysExamined"":0,""docsExamined"":62568,""nBatches"":1,""cursorExhausted"":true,""numYields"":914,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":53853,""locks"":{""Global"":{""acquireCount"":{""r"":915}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":1348009045,""timeReadingMicros"":9691993}},""cpuNanos"":7663795468,""remote"":""10.8.2.164:57458"",""protocol"":""op_msg"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":916}},""workingMillis"":17151,""durationMillis"":17151}}"
"2026-01-05T14:49:49.554+08:00",ptrmmdbhv02,COMMAND,"ptrm_cpc_db.audit_log",,COLLSCAN,1205886,0,1,9366264882,688,15985426960,4504066,12119,12119,1205886,"0.77285790",0,0,"0.28176","{""t"":{""$date"":""2026-01-05T14:49:49.554+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn191198"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""appName"":""mongosh 1.8.0"",""queryShapeHash"":""EFC65E20ACF3C2DB44FB819E7783237A6EAE63F02EC8F78883E97743B7025C54"",""command"":{""find"":""audit_log"",""filter"":{},""sort"":{""requestTime"":-1},""limit"":1,""lsid"":{""id"":{""$uuid"":""1c49c92c-905d-48db-99b4-34da22009068""}},""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1767595701,""i"":2}},""signature"":{""hash"":{""$binary"":{""base64"":""r4CptRMkc18A1EIbnVQG6Fnt4fo="",""subType"":""0""}},""keyId"":7562322421861056515}},""$db"":""ptrm_cpc_db""},""planSummary"":""COLLSCAN"",""planningTimeMicros"":147,""keysExamined"":0,""docsExamined"":1205886,""hasSortStage"":true,""nBatches"":1,""cursorExhausted"":true,""numYields"":688,""nreturned"":1,""planCacheShapeHash"":""D9C00EC3"",""planCacheKey"":""CA920BDF"",""queryFramework"":""classic"",""reslen"":9522,""locks"":{""Global"":{""acquireCount"":{""r"":689}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":15985426960,""timeReadingMicros"":4504066}},""cpuNanos"":9366264882,""remote"":""10.8.2.171:59696"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":690},""ingress"":{""admissions"":1}},""workingMillis"":12119,""durationMillis"":12119}}"
"2026-01-29T07:02:05.530+08:00",ptrmmdbhv02,COMMAND,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,62568,0,1,7264716972,623,584954285,4195564,11719,11719,62568,"0.61990929",0,0,"7.1725","{""t"":{""$date"":""2026-01-29T07:02:05.530+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn156"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""697a955fef0b4e0bce95de78""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1769641313,""i"":1}},""signature"":{""hash"":{""$binary"":{""base64"":""uNW/DzEE1qCCVnp0WHn/MUiRsQM="",""subType"":""0""}},""keyId"":7562322421861056515}},""lsid"":{""id"":{""$uuid"":""d252c965-a7ed-42e2-8eb9-01d692a7164f""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":93,""keysExamined"":0,""docsExamined"":62568,""nBatches"":1,""cursorExhausted"":true,""numYields"":623,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":4392,""locks"":{""Global"":{""acquireCount"":{""r"":624}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":584954285,""timeReadingMicros"":4195564}},""cpuNanos"":7264716972,""remote"":""10.8.2.163:53454"",""protocol"":""op_msg"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":625}},""workingMillis"":11719,""durationMillis"":11719}}"
"2026-01-16T09:25:47.860+08:00",ptrmmdbhv01,COMMAND,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,61851,0,1,5636907215,618,1491715332,6665576,11534,11534,61851,"0.48872093",0,0,"4.4684","{""t"":{""$date"":""2026-01-16T09:25:47.860+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn36876"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""69699355c926b031fd0f5ba1""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1768526736,""i"":18}},""signature"":{""hash"":{""$binary"":{""base64"":""oHQqJWhPVMDmwIJwtDEddjmAxfw="",""subType"":""0""}},""keyId"":7562322421861056515}},""lsid"":{""id"":{""$uuid"":""a443be7b-4062-4f21-942c-bbf1250ca506""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":135,""keysExamined"":0,""docsExamined"":61851,""nBatches"":1,""cursorExhausted"":true,""numYields"":618,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":53850,""locks"":{""Global"":{""acquireCount"":{""r"":619}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":1491715332,""timeReadingMicros"":6665576}},""cpuNanos"":5636907215,""remote"":""10.8.18.163:60756"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":620},""ingress"":{""admissions"":1}},""workingMillis"":11534,""durationMillis"":11534}}"
"2026-01-01T04:36:52.926+08:00",ptrmmdbhv02,COMMAND,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,61438,0,1,1998879967,513,1725425235,8420647,9298,9298,61438,"0.21497956",0,0,"4.8803","{""t"":{""$date"":""2026-01-01T04:36:52.926+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn220"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""69505adf1857bc49857b9f60""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1767213403,""i"":2}},""signature"":{""hash"":{""$binary"":{""base64"":""hkjlJOCTN3q62KKkFQ/XYiLSdMs="",""subType"":""0""}},""keyId"":7526323723972902914}},""lsid"":{""id"":{""$uuid"":""09b7299b-bdc8-4bab-8899-809f938250e0""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":100,""keysExamined"":0,""docsExamined"":61438,""nBatches"":1,""cursorExhausted"":true,""numYields"":513,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":2374,""locks"":{""Global"":{""acquireCount"":{""r"":514}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":1725425235,""timeReadingMicros"":8420647}},""cpuNanos"":1998879967,""remote"":""10.8.18.164:42430"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":515},""ingress"":{""admissions"":1}},""workingMillis"":9298,""durationMillis"":9298}}"
"2026-01-16T09:25:47.860+08:00",ptrmmdbhv01,COMMAND,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,61851,0,1,4695206940,405,657629896,3050791,7659,7659,61851,"0.61303133",0,0,"4.6391","{""t"":{""$date"":""2026-01-16T09:25:47.860+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn36875"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""69699382c2aa8a65440c7511""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1768526740,""i"":1}},""signature"":{""hash"":{""$binary"":{""base64"":""LwPazLWPd1vZhvYDkrdS0Hqwsuc="",""subType"":""0""}},""keyId"":7562322421861056515}},""lsid"":{""id"":{""$uuid"":""d019cc2a-3f32-4988-9559-6bd8411b6c9d""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":112,""keysExamined"":0,""docsExamined"":61851,""nBatches"":1,""cursorExhausted"":true,""numYields"":405,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":4395,""locks"":{""Global"":{""acquireCount"":{""r"":406}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":657629896,""timeReadingMicros"":3050791}},""cpuNanos"":4695206940,""remote"":""10.8.18.164:46480"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":407},""ingress"":{""admissions"":1}},""workingMillis"":7659,""durationMillis"":7659}}"
"2026-01-29T07:02:05.530+08:00",ptrmmdbhv02,COMMAND,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,62568,0,1,3749468568,290,233582848,1555875,5495,5495,62568,"0.68234187",0,0,"6.6609","{""t"":{""$date"":""2026-01-29T07:02:05.530+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn973"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""697a9565ef0b4e0bce95de7a""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1769641320,""i"":1}},""signature"":{""hash"":{""$binary"":{""base64"":""YdAWG5OPGdPNe55B76BirwrqD9U="",""subType"":""0""}},""keyId"":7562322421861056515}},""lsid"":{""id"":{""$uuid"":""cd0c32c8-b907-471f-9c29-09e654b26cc1""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":101,""keysExamined"":0,""docsExamined"":62568,""nBatches"":1,""cursorExhausted"":true,""numYields"":290,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":7399,""locks"":{""Global"":{""acquireCount"":{""r"":291}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":233582848,""timeReadingMicros"":1555875}},""cpuNanos"":3749468568,""remote"":""10.8.2.163:52442"",""protocol"":""op_msg"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":292}},""workingMillis"":5495,""durationMillis"":5495}}"
"2026-01-07T05:01:15.567+08:00",ptrmmdbhv02,COMMAND,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,50000,0,1,1035154471,146,211828876,972421,1946,1946,50000,"0.53193960",0,0,"4.5906","{""t"":{""$date"":""2026-01-07T05:01:15.567+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn88451"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""ECBFB17B9081D99D5AEBB6863EBB23568C61BC89B12E52089395114D8B4D8ACA"",""command"":{""aggregate"":""reportDocument"",""pipeline"":[{""$match"":{}},{""$limit"":50000},{""$group"":{""_id"":1,""n"":{""$sum"":1}}}],""cursor"":{},""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1767733273,""i"":3}},""signature"":{""hash"":{""$binary"":{""base64"":""cq66bHhDb5A1GMslq9Fs26VzFA8="",""subType"":""0""}},""keyId"":7562322421861056515}},""lsid"":{""id"":{""$uuid"":""8f50db0e-9fb8-4b9f-b57f-7bfc34f810b5""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":231,""keysExamined"":0,""docsExamined"":50000,""cursorExhausted"":true,""numYields"":146,""nreturned"":1,""planCacheShapeHash"":""B3956D95"",""planCacheKey"":""E66D7B71"",""queryFramework"":""sbe"",""reslen"":265,""locks"":{""Global"":{""acquireCount"":{""r"":147}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""writeConcern"":{""w"":4,""wtimeout"":200,""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":211828876,""timeReadingMicros"":972421}},""cpuNanos"":1035154471,""remote"":""10.8.18.163:57060"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":148},""ingress"":{""admissions"":1}},""workingMillis"":1946,""durationMillis"":1946}}"
