currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
"fb_db_v2","process1cd17ddf848 process1cfb583e4e8 process2686c850ca8 process27c9c0f64e8 process2834b4b0108 process284515828c8","PAGE: 6:1:10078342  PAGE: 6:1:10479370  PAGE: 6:1:10479372  PAGE: 6:1:11620972  PAGE: 6:1:11639112  PAGE: 6:1:2860968  PAGE: 6:1:6787892  PAGE: 6:1:6787893  PAGE: 6:1:6787894  PAGE: 6:1:8761475  PAGE: 6:1:8761477 ","IX S",12,"2025/11/28 08:36:42.050","2025/11/06 14:50:57.970","(@P0 bigint,@P1 bigint,@P2 bigint,@P3 bigint,@P4 bigint,@P5 bigint,@P6 bigint,@P7 bigint,@P8 bigint,@P9 bigint,@P10 bigint,@P11 bigint,@P12 bigint,@P13 bigint,@P14 bigint,@P15 bigint,@P16 bigint,@P17 bigint,@P18 bigint,@P19 bigint,@P20 bigint,@P21 bigint,@P22 bigint,@P23 bigint,@P24 bigint,@P25 bigint,@P26 bigint,@P27 bigint,@P28 bigint,@P29 bigint,@P30 bigint,@P31 bigint,@P32 bigint,@P33 bigint,@P34 bigint,@P35 bigint,@P36 bigint,@P37 bigint,@P38 bigint,@P39 bigint,@P40 bigint)select c1_0.combination_id,c1_0.line_id,c1_0.pool_id,c1_0.combination_str,c1_0.created_dt,c1_0.current_margin,c1_0.display_wagering_status,c1_0.es_status,c1_0.es_status_last_modified_dt,c1_0.last_modified_dt,c1_0.last_odds,c1_0.last_odds_str,c1_0.last_odds_updated_dt,c1_0.not_offer_reason_code,c1_0.odds,c1_0.odds_str,c1_0.odds_updated_dt,c1_0.opening_odds,c1_0.opening_odds_str,c1_0.opening_odds_updated_dt,c1_0.prev_status,c1_0.provisional_status,c1_0.status,c1_0.sys_created_datetime,c1_0.sys_updated_datetime,c1_0.winning_order,c1_0.wi    "
"fb_db_v2","process1cd17ddf848 process1cfb583e4e8 process2686c850ca8 process27c9c0f64e8 process2834b4b0108 process284515828c8","PAGE: 6:1:10078342  PAGE: 6:1:10479370  PAGE: 6:1:10479372  PAGE: 6:1:11620972  PAGE: 6:1:11639112  PAGE: 6:1:2860968  PAGE: 6:1:6787892  PAGE: 6:1:6787893  PAGE: 6:1:6787894  PAGE: 6:1:8761475  PAGE: 6:1:8761477 ","IX S",12,"2025/11/28 08:36:42.050","2025/11/06 14:50:57.970","frame procname=adhoc line=1 stmtstart=966 stmtend=2720 sqlhandle=0x0200000038c3011288acb7f9679ca61cb34fdc185a29458c0000000000000000000000000000000000000000"
"fb_db_v2","process1cd17ddf848 process1cfb583e4e8 process2686c850ca8 process27c9c0f64e8 process284515828c8","PAGE: 6:1:10078342  PAGE: 6:1:10479370  PAGE: 6:1:10479372  PAGE: 6:1:2860968  PAGE: 6:1:6787892  PAGE: 6:1:6787893  PAGE: 6:1:6787894  PAGE: 6:1:8761475  PAGE: 6:1:8761477 ","IX S",10,"2025/11/28 08:36:42.050","2025/11/06 14:50:57.970","(@P0 varchar(8000),@P1 datetime2,@P2 decimal(38,0),@P3 varchar(8000),@P4 varchar(8000),@P5 datetime2,@P6 datetime2,@P7 decimal(38,0),@P8 varchar(8000),@P9 datetime2,@P10 bigint,@P11 decimal(38,0),@P12 varchar(8000),@P13 datetime2,@P14 decimal(38,0),@P15 varchar(8000),@P16 datetime2,@P17 varchar(8000),@P18 varchar(8000),@P19 varchar(8000),@P20 datetime2,@P21 datetime2,@P22 int,@P23 bigint,@P24 bigint,@P25 bigint,@P26 bigint)update wagering.combination set combination_str= @P0 ,created_dt= @P1 ,current_margin= @P2 ,display_wagering_status= @P3 ,es_status= @P4 ,es_status_last_modified_dt= @P5 ,last_modified_dt= @P6 ,last_odds= @P7 ,last_odds_str= @P8 ,last_odds_updated_dt= @P9 ,not_offer_reason_code= @P10 ,odds= @P11 ,odds_str= @P12 ,odds_updated_dt= @P13 ,opening_odds= @P14 ,opening_odds_str= @P15 ,opening_odds_updated_dt= @P16 ,prev_status= @P17 ,provisional_status= @P18 ,status= @P19 ,sys_created_datetime= @P20 ,sys_updated_datetime= @P21 ,winning_order= @P22 ,with_seq= @P23 where combination_id= @P24 and li    "
"fb_db_v2","process1cd17ddf848 process1cfb583e4e8 process2686c850ca8 process27c9c0f64e8 process284515828c8","PAGE: 6:1:10078342  PAGE: 6:1:10479370  PAGE: 6:1:10479372  PAGE: 6:1:2860968  PAGE: 6:1:6787892  PAGE: 6:1:6787893  PAGE: 6:1:6787894  PAGE: 6:1:8761475  PAGE: 6:1:8761477 ","IX S",10,"2025/11/28 08:36:42.050","2025/11/06 14:50:57.970","frame procname=adhoc line=1 stmtstart=854 stmtend=2102 sqlhandle=0x020000008b3c0a0f05de5a13e1ccdd4c540c8cef04f09b840000000000000000000000000000000000000000"
"agp2_db",process1d685a33468,"PAGE: 5:1:19102496 ",S,6,"2025/11/16 06:45:36.450","2025/11/16 06:45:36.450","(@P0 int)EXEC usp_agp_get_rpt_sbc503 @P0    "
"agp2_db",process1d685a33468,"PAGE: 5:1:19102496 ",S,6,"2025/11/16 06:45:36.450","2025/11/16 06:45:36.450","frame procname=agp2_db.dbo.usp_agp_get_rpt_sbc503 line=343 stmtstart=22160 stmtend=27654 sqlhandle=0x030005003770991174ce430055b3000001000000000000000000000000000000000000000000000000000000"
"agp2_db",process1d685a33468,"PAGE: 5:1:19102496 ",S,3,"2025/11/16 06:45:36.450","2025/11/16 06:45:36.450","frame procname=agp2_db.dbo.usp_agp_eod_housekeep_fo line=536 stmtstart=56076 stmtend=59490 sqlhandle=0x03000500fa33506e4ccc430055b3000001000000000000000000000000000000000000000000000000000000"
"agp2_db",process1d685a33468,"PAGE: 5:1:19102496 ",S,3,"2025/11/16 06:45:36.450","2025/11/16 06:45:36.450","set nocount on;DECLARE	@return_value int EXEC @return_value = usp_agp_eod_housekeep_fo SELECT	'Return Value' = @return_value    "
"acp1_db","process17639729c28 process1880ba5c8c8","METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 14), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 35), lockPartitionId = 0","Sch-M Sch-S",2,"2025/11/23 09:47:42.970","2025/11/12 09:02:55.270","(@P0 [dbo].[tvpnc_activity_id] READONLY,@P1 int)EXEC usp_acp_asc_get_defer_activity_info @P0,@P1    "
"fb_db_v2",process2834b4b0108,"PAGE: 6:1:11620972  PAGE: 6:1:11639112 ","IX S",2,"2025/11/24 06:30:05.100","2025/11/24 06:30:05.100","(@P0 varchar(8000),@P1 datetime2,@P2 decimal(38,5),@P3 varchar(8000),@P4 varchar(8000),@P5 datetime2,@P6 datetime2,@P7 decimal(38,0),@P8 varchar(8000),@P9 datetime2,@P10 bigint,@P11 decimal(38,5),@P12 varchar(8000),@P13 datetime2,@P14 decimal(38,0),@P15 varchar(8000),@P16 datetime2,@P17 varchar(8000),@P18 varchar(8000),@P19 varchar(8000),@P20 datetime2,@P21 datetime2,@P22 int,@P23 bigint,@P24 bigint,@P25 bigint,@P26 bigint)update wagering.combination set combination_str= @P0 ,created_dt= @P1 ,current_margin= @P2 ,display_wagering_status= @P3 ,es_status= @P4 ,es_status_last_modified_dt= @P5 ,last_modified_dt= @P6 ,last_odds= @P7 ,last_odds_str= @P8 ,last_odds_updated_dt= @P9 ,not_offer_reason_code= @P10 ,odds= @P11 ,odds_str= @P12 ,odds_updated_dt= @P13 ,opening_odds= @P14 ,opening_odds_str= @P15 ,opening_odds_updated_dt= @P16 ,prev_status= @P17 ,provisional_status= @P18 ,status= @P19 ,sys_created_datetime= @P20 ,sys_updated_datetime= @P21 ,winning_order= @P22 ,with_seq= @P23 where combination_id= @P24 and li    "
