currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
master,"process29a4a23d848 process2d063c2a8c8 process38119248ca8","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (0b87f2f2184b) KEY: 5:72057594042449920 (9bf9b26f051d) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",55,"2025/11/26 09:33:29.680","2025/11/26 09:33:21.870","frame procname=K2_Custom.dbo.unlock_user_task line=19 stmtstart=660 stmtend=1224 sqlhandle=0x03000500fda84c3af2ead500c3b1000001000000000000000000000000000000000000000000000000000000"
"K2_Custom","process29afd8d7088 process29b2dfedc28 process375e2d3a8c8 process3a64cb0a108","KEY: 5:72057594042187776 (14978c59f027) KEY: 5:72057594042187776 (3452ff0c98df) KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (6b61134d2e13) KEY: 5:72057594042187776 (78afce8d390b) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042187776 (f77f90fa9819) KEY: 5:72057594042187776 (fe44ed2b1365) KEY: 5:72057594042449920 (945419c18964) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:1927470  PAGE: 5:1:5218717 ","IX S U",41,"2025/11/28 09:06:40.940","2025/11/26 09:33:28.870","frame procname=K2_Custom.dbo.unlock_user_task line=19 stmtstart=660 stmtend=1224 sqlhandle=0x03000500fda84c3af2ead500c3b1000001000000000000000000000000000000000000000000000000000000"
master,"process29a4a23d848 process29b0535f468 process29b0535f848 process2a54487aca8 process2d33d7df468 process2ed6b769848 process3298c639088 process348c949b088 process375e2d3aca8 process38119248ca8 process382505d3468 process382505d3c28 process3940075eca8 process3ef7f2d48c8 process4002c7f68c8","KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (004413f5c579) KEY: 5:72057594042449920 (320237d00257) KEY: 5:72057594042449920 (5b301cdafa0d) KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (7bcd9ce0c1a1) KEY: 5:72057594042449920 (8281f77724ad) KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (9a5940c47374) KEY: 5:72057594042449920 (9bf9b26f051d) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:1927466  PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",39,"2025/11/27 08:58:05.810","2025/11/26 09:33:15.840","frame procname=K2_Custom.dbo.update_task_log line=31 stmtstart=1332 stmtend=2372 sqlhandle=0x030005009b87944df613fa0046b1000001000000000000000000000000000000000000000000000000000000"
master,"process29a4a23d848 process2d063c2a8c8","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (0b87f2f2184b) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",34,"2025/11/26 09:33:29.680","2025/11/26 09:33:28.870","is_completed = 0     "
"K2_Custom",process29afd8d7088,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) PAGE: 5:1:1927470 ","IX S U",32,"2025/11/27 09:41:48.970","2025/11/27 09:41:48.970","SELECT task_id"
master,"process29b0535f468 process38119248ca8 process382505d3c28 process4002c7f68c8","KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (7bcd9ce0c1a1) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",31,"2025/11/26 09:33:24.810","2025/11/26 09:33:18.410","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT31126E%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
"wagering_control","process1ff51a65848 process1ff53a33848 process1ff53a46ca8 process1ff53a51468 process1ff53a51c28 process1ffdff768c8","KEY: 8:415237773918208 (130ab3275e91) KEY: 8:415237773918208 (8457e478814d) KEY: 8:415237773918208 (b639c48618cb) KEY: 8:415237773918208 (dd696c96e078) KEY: 8:415237773918208 (fcec3e9ea88d) KEY: 8:72057594055884800 (45042bc1724b)","S U X",26,"2025/11/28 16:05:36.810","2025/11/28 14:33:47.990","(@P0 bigint)execute wagering_control..wcu_ins_collation_by_pool_commit  @P0     "
master,"process29b0535f468 process38119248ca8 process3940075eca8 process4002c7f68c8","KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",25,"2025/11/26 09:33:22.680","2025/11/26 09:33:18.410","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x020000007ffa9108237ecdfd1b18be7a67c39a64c6775b570000000000000000000000000000000000000000"
master,"process3298c639088 process348c949b088 process382505d3468 process38e73eb7088","KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",23,"2025/11/26 09:33:25.220","2025/11/26 09:33:18.620","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT51126Z%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,"process38119248ca8 process38e73eb7088 process3940075eca8","KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",22,"2025/11/26 09:33:25.220","2025/11/26 09:33:21.870",",[start_time]"
