"creation_time","last_execution_time",host,"db_name","max_elapsed_time_s","avg_elapsed_time_s","total_elapsed_time_s","total_worker_time_s","avg_io","avg_logical_reads","avg_logical_writes","execution_count","query_final"
"11/11/2025 7:33:41 AM","11/11/2025 7:41:28 AM",WINDB11ST01N,"acp_archive_db","938.278","828.241","1656482.373","1176403.465",98453965,194799288,2108641,2,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"11/13/2025 7:04:11 AM","11/13/2025 7:07:12 AM",WINFODB06ST11,"oi_analytics_db","885.593","350.65","1051949.1","587239.303",12690179,25380345,13,3,"(@sports_id tinyint,@report_start_datetime datetime2(7),@report_end_datetime datetime2(7))INSERT INTO @output_list
		   (system_id
		   ,sell_request_id
		   ,selling_time
		   ,channel_device_type
		   ,bet_details
		   ,unit_bet
		   ,total_investment
		   ,reason)
	SELECT sr.system_id
		  ,sr.sell_request_id
		  ,sr.request_at
		  ,sr.channel_device_type
		  ,sr.bet_line
		  ,sr.unit_bet_updated
		  ,sr.investment_updated
		  ,ISNULL(dbo.udf_get_reject_code_description
		   (rej.reject_code,sr.sports_id),CAST(rej.reject_code AS VARCHAR(255)))
	FROM   dbo.sell_request sr WITH(NOLOCK)
		   INNER JOIN dbo.ticket_reject_bet rej WITH(NOLOCK) ON sr.sports_id = @sports_id AND rej.system_id = sr.system_id AND rej.sell_request_id = sr.sell_request_id AND sr.request_at BETWEEN @report_start_datetime AND @report_end_datetime"
"11/13/2025 7:04:11 AM","11/13/2025 7:07:12 AM",WINFODB06ST12,"oi_analytics_db","885.593","350.65","1051949.1","587239.303",12690179,25380345,13,3,"(@sports_id tinyint,@report_start_datetime datetime2(7),@report_end_datetime datetime2(7))INSERT INTO @output_list
		   (system_id
		   ,sell_request_id
		   ,selling_time
		   ,channel_device_type
		   ,bet_details
		   ,unit_bet
		   ,total_investment
		   ,reason)
	SELECT sr.system_id
		  ,sr.sell_request_id
		  ,sr.request_at
		  ,sr.channel_device_type
		  ,sr.bet_line
		  ,sr.unit_bet_updated
		  ,sr.investment_updated
		  ,ISNULL(dbo.udf_get_reject_code_description
		   (rej.reject_code,sr.sports_id),CAST(rej.reject_code AS VARCHAR(255)))
	FROM   dbo.sell_request sr WITH(NOLOCK)
		   INNER JOIN dbo.ticket_reject_bet rej WITH(NOLOCK) ON sr.sports_id = @sports_id AND rej.system_id = sr.system_id AND rej.sell_request_id = sr.sell_request_id AND sr.request_at BETWEEN @report_start_datetime AND @report_end_datetime"
"11/25/2025 8:05:58 AM","11/25/2025 8:05:58 AM",WINDB11ST01N,"acp_archive_db","742.939","742.939","742938.864","599388.456",128750679,255267715,2233643,1,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"11/17/2025 8:30:45 AM","11/17/2025 8:45:53 AM",WINDB11ST01N,"acp_archive_db","706.269","666.832","1333663.84","1078106.383",91300754,180656856,1944652,2,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"11/25/2025 7:50:10 AM","11/25/2025 7:50:10 AM",WINDB11ST01N,"acp_archive_db","658.724","658.724","658723.618","518935.23",62853365,123882192,1824537,1,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"11/28/2025 8:00:55 AM","11/28/2025 8:00:55 AM",WINDB11ST01N,"acp_archive_db","546.243","546.243","546243.262","442398.804",93712503,185760009,1664997,1,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
"11/17/2025 6:58:51 AM","11/17/2025 6:58:51 AM",WINFODB06ST12,"oi_analytics_db","543.195","543.195","543195.09","397340.397",10404637,20809274,0,1,"INSERT INTO @aggregate_daily_event_bet_type_account
                   (sports_id
                   ,event_type
                   ,event_id
                   ,bet_type
                   ,is_inplay
                   ,account_no)
            SELECT b.sports_id
                  ,b.event_type
                  ,p.event_id
                  ,b.bet_type
                  ,b.is_inplay
                  ,b.account_no
            FROM   dbo.ticket_bet_single b WITH(NOLOCK)
                   INNER JOIN dbo.ticket_status s WITH(NOLOCK) ON b.system_id = s.system_id AND b.ticket_id = s.ticket_id AND s.is_cancel = 0 AND s.is_reverse = 0
                   INNER JOIN @settled_lv2_pools p ON b.pool_id = p.pool_id
            WHERE  b.account_no IS NOT NULL"
"11/17/2025 6:58:51 AM","11/17/2025 6:58:51 AM",WINFODB06ST11,"oi_analytics_db","543.195","543.195","543195.09","397340.397",10404637,20809274,0,1,"INSERT INTO @aggregate_daily_event_bet_type_account
                   (sports_id
                   ,event_type
                   ,event_id
                   ,bet_type
                   ,is_inplay
                   ,account_no)
            SELECT b.sports_id
                  ,b.event_type
                  ,p.event_id
                  ,b.bet_type
                  ,b.is_inplay
                  ,b.account_no
            FROM   dbo.ticket_bet_single b WITH(NOLOCK)
                   INNER JOIN dbo.ticket_status s WITH(NOLOCK) ON b.system_id = s.system_id AND b.ticket_id = s.ticket_id AND s.is_cancel = 0 AND s.is_reverse = 0
                   INNER JOIN @settled_lv2_pools p ON b.pool_id = p.pool_id
            WHERE  b.account_no IS NOT NULL"
"11/21/2025 8:06:47 AM","11/21/2025 8:06:47 AM",WINDB11ST01N,"acp_archive_db","512.746","512.746","512745.72","414832.311",88784630,175980063,1589196,1,"insert bulk dbo.previous_day_activities([arc_src_system_id] tinyint,[activity_id] bigint,[activity_bizdate] int,[activity_time] datetime2(7),[activity_code] int,[terminal_id] varchar(10) collate Latin1_General_BIN2,[terminal_msn] int,[centre_no] int,[window_no] smallint,[account_no] varchar(16) collate Latin1_General_BIN2,[account_trxn_no] smallint,[source_system_id] tinyint,[source_activity_id] bigint,[dest_system_id] tinyint,[terminal_session_id] bigint,[customer_session_id] bigint,[bet_category] tinyint,[ticket_type] int,[ticket_id] bigint,[child_ticket_id] bigint,[is_prelog] tinyint,[is_timeout] tinyint,[is_rcv] tinyint,[pocket_type] tinyint,[result_code] int,[result_text] varchar(1000) collate Latin1_General_BIN2,[result_binary] varbinary(8000),[error_text] varchar(500) collate Latin1_General_BIN2,[data_grouping_bizdate] int)"
