"t.$date",host,hostname,"attr.ns","attr.command.getMore","attr.planSummary","attr.docsExamined","attr.keysExamined","attr.nreturned","attr.cpuNanos","attr.numYields","attr.storage.data.bytesRead","attr.storage.data.timeReadingMicros","attr.durationMillis","attr.workingMillis","health_scan_return_ratio","health_cpuNanos","health_queue_time_ratio","health_index_efficiency_ratio","health_disk_latency_per_mb","_raw","attr.queryShapeHash",c
"2025-11-25T04:02:57.520+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,667628,0,,4946269760,1138,7847128321,18403909,22227,22227,,"0.22253429",0,0,"2.3453","{""t"":{""$date"":""2025-11-25T04:02:57.520+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn147840"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-24T20:02:33.649Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":667628,""ndeleted"":0,""numYields"":1138,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":1139}},""Global"":{""acquireCount"":{""w"":1139}},""Database"":{""acquireCount"":{""w"":1139}},""Collection"":{""acquireCount"":{""w"":1139}}},""flowControl"":{""acquireCount"":1139},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":7847128321,""timeReadingMicros"":18403909}},""cpuNanos"":4946269760,""remote"":""10.8.18.163:36580"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":1140}},""workingMillis"":22227,""durationMillis"":22227}}",,WRITE
"2025-11-28T04:00:50.149+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,709989,0,,8036642341,863,7074810617,8264671,15959,15959,,"0.50358057",0,0,"1.1682","{""t"":{""$date"":""2025-11-28T04:00:50.149+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn146"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-27T20:00:33.146Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":709989,""ndeleted"":0,""numYields"":863,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":864}},""Global"":{""acquireCount"":{""w"":864}},""Database"":{""acquireCount"":{""w"":864}},""Collection"":{""acquireCount"":{""w"":864}}},""flowControl"":{""acquireCount"":864},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":7074810617,""timeReadingMicros"":8264671},""timeWaitingMicros"":{""cache"":707}},""cpuNanos"":8036642341,""remote"":""10.8.2.163:45352"",""queues"":{""execution"":{""admissions"":865},""ingress"":{""admissions"":1}},""workingMillis"":15959,""durationMillis"":15959}}",,WRITE
"2025-11-21T04:02:23.502+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,631655,0,,3546439874,723,5689287066,11238404,13977,13977,,"0.25373398",0,0,"1.9754","{""t"":{""$date"":""2025-11-21T04:02:23.502+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn69354"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-20T20:02:08.372Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":631655,""ndeleted"":0,""numYields"":723,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":724}},""Global"":{""acquireCount"":{""w"":724}},""Database"":{""acquireCount"":{""w"":724}},""Collection"":{""acquireCount"":{""w"":724}}},""flowControl"":{""acquireCount"":724},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":5689287066,""timeReadingMicros"":11238404}},""cpuNanos"":3546439874,""remote"":""10.8.2.163:53550"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":725}},""workingMillis"":13977,""durationMillis"":13977}}",,WRITE
"2025-11-24T04:02:39.033+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,667582,0,,4090456123,745,6447491485,10857998,13957,13957,,"0.29307560",0,0,"1.6841","{""t"":{""$date"":""2025-11-24T04:02:39.033+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn215"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-23T20:02:23.899Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":667582,""ndeleted"":0,""numYields"":745,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":746}},""Global"":{""acquireCount"":{""w"":746}},""Database"":{""acquireCount"":{""w"":746}},""Collection"":{""acquireCount"":{""w"":746}}},""flowControl"":{""acquireCount"":746},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":6447491485,""timeReadingMicros"":10857998}},""cpuNanos"":4090456123,""remote"":""10.8.18.164:51068"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":747}},""workingMillis"":13957,""durationMillis"":13957}}",,WRITE
"2025-11-30T04:01:11.182+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,710764,0,,5009865322,688,8089268715,8373051,12457,12457,,"0.40217270",0,0,"1.0351","{""t"":{""$date"":""2025-11-30T04:01:11.182+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn20430"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-29T20:00:57.772Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":710764,""ndeleted"":0,""numYields"":688,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":689}},""Global"":{""acquireCount"":{""w"":689}},""Database"":{""acquireCount"":{""w"":689}},""Collection"":{""acquireCount"":{""w"":689}}},""flowControl"":{""acquireCount"":689},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":8089268715,""timeReadingMicros"":8373051}},""cpuNanos"":5009865322,""remote"":""10.8.2.163:41206"",""queues"":{""execution"":{""admissions"":690},""ingress"":{""admissions"":1}},""workingMillis"":12457,""durationMillis"":12457}}",,WRITE
"2025-11-03T07:01:42.143+08:00",ptrmmdbhv02,,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,61227,0,1,4542348848,650,1748311278,8242177,11941,11941,61227,"0.38039937",0,0,"4.7144","{""t"":{""$date"":""2025-11-03T07:01:42.143+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn185"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""6907e2c80f6d9d7422a68f0b""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1762124490,""i"":1}},""signature"":{""hash"":{""$binary"":{""base64"":""2dj1K9lctkW2XyaMcZ5ZMODNIkU="",""subType"":""0""}},""keyId"":7526323723972902914}},""lsid"":{""id"":{""$uuid"":""edeb022b-af33-48e7-9f17-fed9d53f2f37""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":96,""keysExamined"":0,""docsExamined"":61227,""nBatches"":1,""cursorExhausted"":true,""numYields"":650,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":53043,""locks"":{""Global"":{""acquireCount"":{""r"":651}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":1748311278,""timeReadingMicros"":8242177}},""cpuNanos"":4542348848,""remote"":""10.8.2.164:34000"",""protocol"":""op_msg"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":652}},""workingMillis"":11941,""durationMillis"":11941}}",195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6,COMMAND
"2025-11-27T07:24:44.605+08:00",ptrmmdbhv02,,"ptrm_cpc_rpt.reportDocument",,COLLSCAN,61827,0,1,4037833776,619,1828354467,8058782,11288,11288,61827,"0.35771029",0,0,"4.4077","{""t"":{""$date"":""2025-11-27T07:24:44.605+08:00""},""s"":""I"",  ""c"":""COMMAND"",  ""id"":51803,   ""ctx"":""conn178"",""msg"":""Slow query"",""attr"":{""type"":""command"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_rpt.reportDocument"",""collectionType"":""normal"",""queryShapeHash"":""195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6"",""command"":{""find"":""reportDocument"",""filter"":{""task"":{""$oid"":""69278c2d37ddba2db5441b98""}},""limit"":2,""$db"":""ptrm_cpc_rpt"",""$clusterTime"":{""clusterTime"":{""$timestamp"":{""t"":1764199473,""i"":1}},""signature"":{""hash"":{""$binary"":{""base64"":""yaZcYL7crWjV4BQSoPJlS1X5aQI="",""subType"":""0""}},""keyId"":7526323723972902914}},""lsid"":{""id"":{""$uuid"":""e2ebae68-6840-447e-b277-ed00cc817fd5""}}},""planSummary"":""COLLSCAN"",""planningTimeMicros"":91,""keysExamined"":0,""docsExamined"":61827,""nBatches"":1,""cursorExhausted"":true,""numYields"":619,""nreturned"":1,""planCacheShapeHash"":""F54BE6F0"",""planCacheKey"":""8F451310"",""queryFramework"":""classic"",""reslen"":53877,""locks"":{""Global"":{""acquireCount"":{""r"":620}}},""readConcern"":{""level"":""majority"",""provenance"":""customDefault""},""storage"":{""data"":{""bytesRead"":1828354467,""timeReadingMicros"":8058782}},""cpuNanos"":4037833776,""remote"":""10.8.2.163:53654"",""protocol"":""op_msg"",""queues"":{""execution"":{""admissions"":621},""ingress"":{""admissions"":1}},""workingMillis"":11288,""durationMillis"":11288}}",195662D515FCFBF0EF68684C6B222C7BF2B9B8C377ABC0A30022F08E2A79E9E6,COMMAND
"2025-11-04T04:00:18.325+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,410284,0,,6568724837,543,2363236086,3257472,10111,10111,,"0.64966124",0,0,"1.3784","{""t"":{""$date"":""2025-11-04T04:00:18.325+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn868"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-03T20:00:06.909Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":410284,""ndeleted"":0,""numYields"":543,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":544}},""Global"":{""acquireCount"":{""w"":544}},""Database"":{""acquireCount"":{""w"":544}},""Collection"":{""acquireCount"":{""w"":544}}},""flowControl"":{""acquireCount"":544},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":2363236086,""timeReadingMicros"":3257472}},""cpuNanos"":6568724837,""remote"":""10.8.2.164:52450"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":545}},""workingMillis"":10111,""durationMillis"":10111}}",,WRITE
"2025-11-04T04:00:18.325+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,410284,0,,6552553519,543,2320446534,3228392,10110,10110,,"0.64812597",0,0,"1.3913","{""t"":{""$date"":""2025-11-04T04:00:18.325+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn20371"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-03T20:00:06.968Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":410284,""ndeleted"":0,""numYields"":543,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":544}},""Global"":{""acquireCount"":{""w"":544}},""Database"":{""acquireCount"":{""w"":544}},""Collection"":{""acquireCount"":{""w"":544}}},""flowControl"":{""acquireCount"":544},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":2320446534,""timeReadingMicros"":3228392}},""cpuNanos"":6552553519,""remote"":""10.8.2.163:39402"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":545}},""workingMillis"":10110,""durationMillis"":10110}}",,WRITE
"2025-11-20T04:02:12.875+08:00",ptrmmdbhv02,,"ptrm_cpc_db.audit_log",,COLLSCAN,631568,0,,3918213351,516,6020170170,6308148,9357,9357,,"0.41874675",0,0,"1.0478","{""t"":{""$date"":""2025-11-20T04:02:12.875+08:00""},""s"":""I"",  ""c"":""WRITE"",    ""id"":51803,   ""ctx"":""conn215"",""msg"":""Slow query"",""attr"":{""type"":""remove"",""isFromUserConnection"":true,""ns"":""ptrm_cpc_db.audit_log"",""collectionType"":""normal"",""command"":{""q"":{""requestTime"":{""$lt"":{""$date"":""2024-11-19T20:02:02.529Z""}}},""limit"":0},""planSummary"":""COLLSCAN"",""keysExamined"":0,""docsExamined"":631568,""ndeleted"":0,""numYields"":516,""locks"":{""ReplicationStateTransition"":{""acquireCount"":{""w"":517}},""Global"":{""acquireCount"":{""w"":517}},""Database"":{""acquireCount"":{""w"":517}},""Collection"":{""acquireCount"":{""w"":517}}},""flowControl"":{""acquireCount"":517},""readConcern"":{""level"":""local"",""provenance"":""implicitDefault""},""storage"":{""data"":{""bytesRead"":6020170170,""timeReadingMicros"":6308148}},""cpuNanos"":3918213351,""remote"":""10.8.18.164:51068"",""queues"":{""ingress"":{""admissions"":1},""execution"":{""admissions"":518}},""workingMillis"":9357,""durationMillis"":9357}}",,WRITE
